race_id,start_time_iso,competition_id,is_validation,runner_number,distance_m,active_field_size,draw_number,weight_kg,career_starts,career_wins,career_seconds,career_thirds,freshWinner,secondUpWinner,winningPartnership,hotStreak,recentPodium,trackFamiliarity,distanceFamiliarity,weight_change_from_last_run,weight_change_vs_recent_avg,weight_change_vs_recent_weighted_avg,large_weight_drop_flag,last3_win_percentage,last3_place_percentage,field_size,age,speed_rating,dry_rating,wet_rating,win_percentage,place_percentage,prize_money,good_starts,good_wins,soft_starts,soft_wins,heavy_starts,heavy_wins,distance_starts,distance_wins,track_starts,track_wins,first_up_starts,first_up_wins,second_up_starts,second_up_wins,horse_jockey_starts,horse_jockey_wins,open_price,fluc1,fluc2,recent_1_place,recent_1_distance_m,recent_1_weight_kg,recent_1_barrier,recent_1_track_status_value,recent_1_starting_price,recent_1_margin,recent_1_total_runners,recent_2_place,recent_2_distance_m,recent_2_weight_kg,recent_2_barrier,recent_2_track_status_value,recent_2_starting_price,recent_2_margin,recent_2_total_runners,recent_3_place,recent_3_distance_m,recent_3_weight_kg,recent_3_barrier,recent_3_track_status_value,recent_3_starting_price,recent_3_margin,recent_3_total_runners,recent_4_place,recent_4_distance_m,recent_4_weight_kg,recent_4_barrier,recent_4_track_status_value,recent_4_starting_price,recent_4_margin,recent_4_total_runners,recent_5_place,recent_5_distance_m,recent_5_weight_kg,recent_5_barrier,recent_5_track_status_value,recent_5_starting_price,recent_5_margin,recent_5_total_runners,recent_6_place,recent_6_distance_m,recent_6_weight_kg,recent_6_barrier,recent_6_track_status_value,recent_6_starting_price,recent_6_margin,recent_6_total_runners,recent_runs_count,recent_wins,recent_places,recent_avg_place,recent_best_place,recent_avg_place_3,recent_avg_place_5,recent_win_rate_5,recent_top3_rate_5,recent_avg_margin,recent_best_margin,recent_avg_margin_3,recent_avg_starting_price,recent_same_distance_runs,recent_same_track_runs,recent_same_condition_runs,recent_days_since_last_run,trackExpert,goodGroundPro,softGroundPro,heavyGroundPro,market_open_to_fluc1_move,market_open_to_fluc2_move,market_fluc1_to_fluc2_move,market_open_to_fluc1_move_pct,market_open_to_fluc2_move_pct,market_fluc1_to_fluc2_move_pct,market_total_abs_movement,market_price_range_pct,market_implied_prob_change_open_to_fluc2,market_implied_prob_change_fluc1_to_fluc2,recent_best_speed_mps,recent_avg_speed_mps,recent_best_similar_distance_speed_mps,recent_avg_similar_distance_speed_mps,recent_weighted_avg_place,recent_weighted_avg_margin,recent_weighted_win_rate,recent_weighted_top3_rate,recent_finish_percentile_weighted,recent_market_edge_weighted,recent_avg_weight_kg,recent_weighted_avg_weight_kg,recent_min_weight_kg,recent_max_weight_kg,recent_weight_range_kg,weight_drop_after_close_run_flag,open_price_rank,fluc1_price_rank,fluc2_price_rank,market_steam_rank,speed_rating_rank,win_percentage_rank,place_percentage_rank,last3_win_percentage_rank,last3_place_percentage_rank,recent_best_speed_rank,recent_similar_distance_speed_rank,recent_weighted_avg_place_rank,recent_weighted_avg_margin_rank,recent_weighted_win_rate_rank,recent_weighted_top3_rate_rank,recent_finish_percentile_rank,recent_market_edge_rank,race_consensus_score,race_consensus_rank,dry_rating_rank,wet_rating_rank,prize_money_rank,career_win_rate_rank,career_place_rate_rank,distance_win_rate_rank,track_win_rate_rank,first_up_win_rate_rank,second_up_win_rate_rank,horse_jockey_win_rate_rank,race_overlay_score,race_overlay_rank,race_signal_agreement_score,race_signal_agreement_rank,top3_mask,market_fluc2_baseline
10146908,2026-02-14T01:05:00+00:00,351,0,1,1100,7,6,57.0,1,0,1,0,,,,,66.67,,66.67,-1.0,-1.0,-1.0,0,33.33333333333333,66.66666666666666,7,2,78.0,100.0,100.0,0.0,100.0,29200.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.3,2.3,2.25,2,1000,58.0,1,,3.6,1.5,9,1,1050,,9,,,0.3,7,4,850,,10,,,3.3,9,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,2.3333333333333335,1,2.3333333333333335,2.3333333333333335,0.3333333333333333,0.6666666666666666,1.7,0.3,1.7,3.6,2,0,3,21,,,,,0.0,-0.05,-0.05,0.0,-0.021739,-0.021739,0.05,0.021739,0.009662,0.009662,17.265193,16.931955,17.265193,16.886016,2.263583,1.641195,0.320097,0.70816,0.875,-0.277778,58.0,58.0,58.0,58.0,0.0,0,1,1,1,4,2,1,1,2,4,1,1,4,4,2,4,1,3,24,1,1,1,1,1,1,,,1,,,18.26085,1,1,1,1,2.25
10146908,2026-02-14T01:05:00+00:00,351,0,2,1100,7,7,57.0,1,0,1,0,,,,,,,,-1.0,-1.0,-1.0,0,0.0,100.0,7,2,0.0,75.0,75.0,0.0,100.0,10500.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,26.0,16.0,17.0,2,1100,58.0,5,,8.5,1.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,2.0,2,2.0,2.0,0.0,1.0,1.0,1.0,1.0,8.5,1,0,1,16,,,,,-10.0,-9.0,1.0,-0.384615,-0.346154,0.0625,11.0,0.384615,0.020362,-0.003676,17.006803,17.006803,17.006803,17.006803,2.0,1.0,0.0,1.0,0.75,-0.117647,58.0,58.0,58.0,58.0,0.0,0,6,6,6,2,7,1,1,3,1,3,3,2,3,3,1,2,1,44,2,7,7,2,1,1,1,,1,,1,15.0,2,0,4,0,17.0
10146908,2026-02-14T01:05:00+00:00,351,0,3,1100,7,5,57.0,1,0,0,0,,,,,,,,-1.0,-1.0,-1.0,0,0.0,0.0,7,2,34.0,95.0,95.0,0.0,0.0,6000.0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,7.0,13.0,12.0,5,1000,58.0,8,,8.5,5.9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,5.0,5,5.0,5.0,0.0,0.0,5.9,5.9,5.9,8.5,1,1,0,102,,,,,6.0,5.0,-1.0,0.857143,0.714286,-0.076923,7.0,0.857143,-0.059524,0.00641,17.009696,17.009696,17.009696,17.009696,5.0,5.9,0.0,0.0,0.636364,-0.117647,58.0,58.0,58.0,58.0,0.0,0,4,4,4,7,4,1,3,3,5,2,2,5,5,3,5,3,1,51,4,5,5,3,1,3,,1,1,,,11.53845,5,1,1,1,12.0
10146908,2026-02-14T01:05:00+00:00,351,0,4,1100,7,4,57.0,0,0,0,0,,,,,,,,,,,0,,,7,2,100.0,100.0,100.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,3.1,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,0,0,0,,,,,,-1.5,-1.6,-0.1,-0.326087,-0.347826,-0.032258,1.6,0.347826,0.115942,0.010753,,,,,,,,,,,,,,,,0,3,2,2,1,1,1,3,,,,,,,,,,,47,3,1,1,4,,,,,,,,4.8387,6,1,1,1,3.0
10146908,2026-02-14T01:05:00+00:00,351,0,5,1100,7,3,57.0,0,0,0,0,,,,,,,,,,,0,,,7,2,25.0,99.0,99.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,5.0,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,0,0,0,,,,,,1.1,1.6,0.5,0.282051,0.410256,0.1,1.6,0.410256,-0.074592,-0.018182,,,,,,,,,,,,,,,,0,2,3,3,6,5,1,3,,,,,,,,,,,62,7,3,3,4,,,,,,,,0.0,7,0,4,0,5.5
10146908,2026-02-14T01:05:00+00:00,351,0,6,1100,7,1,55.0,0,0,0,0,,,,,,,,,,,0,0.0,100.0,7,2,6.0,99.0,99.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0,13.0,14.0,2,800,,3,,,0.1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,2.0,2,2.0,2.0,0.0,1.0,0.1,0.1,0.1,,0,0,1,107,,,,,0.0,1.0,1.0,0.0,0.076923,0.076923,1.0,0.076923,-0.005495,-0.005495,16.817322,16.817322,,,2.0,0.1,0.0,1.0,,,,,,,,0,5,4,5,5,6,1,3,3,1,5,,2,1,3,1,,,51,4,3,3,4,,,,,,,,15.0,2,0,4,0,14.0
10146908,2026-02-14T01:05:00+00:00,351,0,7,1100,7,2,55.0,0,0,0,0,,,,,,,,,,,0,100.0,100.0,7,2,44.0,91.0,91.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.0,26.0,27.0,1,800,,1,,,0.3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1.0,1,1.0,1.0,1.0,1.0,0.3,0.3,0.3,,0,0,1,16,,,,,-8.0,-7.0,1.0,-0.235294,-0.205882,0.038462,9.0,0.235294,0.007625,-0.001425,16.842105,16.842105,,,1.0,0.3,1.0,1.0,,,,,,,,0,7,7,7,3,3,1,3,1,1,4,,1,2,1,1,,,54,6,6,6,4,,,,,,,,15.0,2,0,4,0,27.0
10146774,2026-02-14T01:20:00+00:00,570,0,1,1800,13,18,59.0,22,3,3,4,,33.33,,,,,,1.5,2.166667,2.039283,0,0.0,33.33333333333333,19,5,20.0,79.0,79.0,13.64,45.45,136375.0,12,2,8,1,2,0,2,1,1,0,3,0,3,1,3,0,16.0,20.0,19.0,2,1500,57.5,1,,15.0,0.1,17,4,1600,58.5,14,,61.0,0.6,14,7,1200,53.5,6,,9.0,6.5,7,5,1400,59.0,12,,51.0,4.0,12,5,1200,57.5,5,,51.0,4.2,7,9,1890,55.0,5,,71.0,10.5,11,6,0,1,5.333333333333333,2,4.333333333333333,4.6,0.0,0.2,4.316666666666666,0.1,2.4,28.333333333333332,1,1,4,14,,,,,4.0,3.0,-1.0,0.25,0.1875,-0.05,5.0,0.25,-0.009868,0.002632,17.35107,16.81996,16.697975,16.440434,4.868851,3.576978,0.0,0.236523,0.533555,-0.045448,56.833333,56.960717,53.5,59.0,5.5,0,6,8,8,10,12,12,10,8,7,1,3,8,12,10,8,9,10,87,8,11,11,2,12,10,2,2,9,4,5,41.666667,4,3,2,0,19.0
10146774,2026-02-14T01:20:00+00:00,570,0,2,1800,13,14,58.5,9,3,2,1,,66.67,,40.0,80.0,,,1.0,0.3,-0.233855,0,66.66666666666666,100.0,19,4,95.0,85.0,85.0,33.33,66.67,70500.0,8,2,0,0,1,1,0,0,0,0,3,0,3,2,0,0,4.5,6.5,6.0,1,1666,57.5,8,,3.3,0.5,12,3,1680,57.5,4,,3.3,0.7,10,1,1550,61.5,5,,1.4,2.0,8,2,1200,60.5,4,,3.2,0.1,8,6,1050,,4,,,2.5,7,9,1600,54.0,6,,5.5,4.8,10,6,2,4,3.6666666666666665,1,1.6666666666666667,2.6,0.4,0.8,1.7666666666666666,0.1,1.0666666666666667,2.6666666666666665,0,0,5,14,,25.0,,,2.0,1.5,-0.5,0.444444,0.333333,-0.076923,2.5,0.444444,-0.055556,0.012821,16.935484,16.608049,16.508461,16.369448,2.706396,1.261527,0.429884,0.808656,0.863434,0.112141,58.2,58.733855,54.0,61.5,7.5,0,2,3,3,12,2,2,3,1,1,9,8,3,2,4,3,4,5,64,3,4,4,7,2,3,,,9,2,,54.03845,2,3,2,1,6.0
10146774,2026-02-14T01:20:00+00:00,570,0,3,1800,13,7,58.0,18,3,6,4,20.0,20.0,,,,,,-1.0,-1.2,-1.059364,0,0.0,0.0,19,5,46.0,74.0,74.0,16.67,72.22,161600.0,8,1,9,2,1,0,1,1,2,1,5,1,5,1,3,0,27.0,31.0,34.0,13,1500,59.0,7,,101.0,4.8,17,17,1400,59.0,17,,201.0,10.5,18,14,1200,59.0,6,,81.0,9.1,14,7,900,,7,,,15.2,9,7,1500,61.0,3,,3.4,21.9,7,4,1900,58.0,3,,3.6,1.2,6,6,0,0,10.333333333333334,4,14.666666666666666,11.6,0.0,0.0,10.45,1.2,8.133333333333333,127.66666666666667,1,1,3,14,,,22.22,,4.0,7.0,3.0,0.148148,0.259259,0.096774,7.0,0.259259,-0.007625,-0.002846,17.177212,16.56801,16.239316,16.239316,13.012412,9.36574,0.0,0.0,0.116384,-0.028145,59.2,59.059364,58.0,61.0,3.0,0,10,10,10,11,6,9,2,8,12,3,11,13,13,10,13,13,8,105,9,13,13,1,9,2,1,1,8,5,5,31.25,7,1,10,0,34.0
