race_id,start_time_iso,competition_id,is_validation,runner_number,distance_m,active_field_size,draw_number,weight_kg,career_starts,career_wins,career_seconds,career_thirds,trackFamiliarity,distanceFamiliarity,weight_change_from_last_run,weight_change_vs_recent_avg,weight_change_vs_recent_weighted_avg,large_weight_drop_flag,last3_win_percentage,last3_place_percentage,win_percentage,place_percentage,distance_starts,distance_wins,track_starts,track_wins,horse_jockey_starts,horse_jockey_wins,recent_1_starting_price,recent_2_starting_price,recent_3_starting_price,recent_avg_place,recent_best_place,recent_same_distance_runs,recent_same_track_runs,recent_same_condition_runs,recent_days_since_last_run,top3_mask,market_fluc2_baseline
10146908,2026-02-14T01:05:00+00:00,351,0,1,1100,7,6,57.0,1,0,1,0,,66.67,-1.0,-1.0,-1.0,0,33.33333333333333,66.66666666666666,0.0,100.0,0,0,0,0,0,0,3.6,,,2.3333333333333335,1,2,0,3,21,1,2.25
10146908,2026-02-14T01:05:00+00:00,351,0,2,1100,7,7,57.0,1,0,1,0,,,-1.0,-1.0,-1.0,0,0.0,100.0,0.0,100.0,1,0,0,0,1,0,8.5,,,2.0,2,1,0,1,16,0,17.0
10146908,2026-02-14T01:05:00+00:00,351,0,3,1100,7,5,57.0,1,0,0,0,,,-1.0,-1.0,-1.0,0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,8.5,,,5.0,5,1,1,0,102,1,12.0
10146908,2026-02-14T01:05:00+00:00,351,0,4,1100,7,4,57.0,0,0,0,0,,,,,,0,,,0.0,0.0,0,0,0,0,0,0,,,,,,0,0,0,,1,3.0
10146908,2026-02-14T01:05:00+00:00,351,0,5,1100,7,3,57.0,0,0,0,0,,,,,,0,,,0.0,0.0,0,0,0,0,0,0,,,,,,0,0,0,,0,5.5
10146908,2026-02-14T01:05:00+00:00,351,0,6,1100,7,1,55.0,0,0,0,0,,,,,,0,0.0,100.0,0.0,0.0,0,0,0,0,0,0,,,,2.0,2,0,0,1,107,0,14.0
10146908,2026-02-14T01:05:00+00:00,351,0,7,1100,7,2,55.0,0,0,0,0,,,,,,0,100.0,100.0,0.0,0.0,0,0,0,0,0,0,,,,1.0,1,0,0,1,16,0,27.0
10147275,2026-02-14T01:28:00+00:00,335,0,1,1000,7,1,59.0,1,1,0,0,,,,0.0,0.0,0,100.0,100.0,100.0,100.0,0,0,0,0,1,1,,4.0,,1.0,1,1,0,1,11,0,2.25
10147275,2026-02-14T01:28:00+00:00,335,0,2,1000,7,7,58.5,0,0,0,0,,,,,,0,33.33333333333333,100.0,0.0,0.0,0,0,0,0,0,0,,,,2.3333333333333335,1,1,0,0,18,1,20.0
10147275,2026-02-14T01:28:00+00:00,335,0,3,1000,7,2,57.0,1,0,0,0,,,2.5,2.5,2.5,0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,10.0,,,3.5,1,1,0,0,14,1,7.0
10147275,2026-02-14T01:28:00+00:00,335,0,5,1000,7,4,56.5,0,0,0,0,,,,,,0,0.0,100.0,0.0,0.0,0,0,0,0,0,0,,,,3.0,3,1,0,0,18,0,67.0
10147275,2026-02-14T01:28:00+00:00,335,0,6,1000,7,3,56.5,0,0,0,0,,,,,,0,0.0,100.0,0.0,0.0,0,0,0,0,0,0,,,,2.0,2,0,0,1,11,0,11.0
10147275,2026-02-14T01:28:00+00:00,335,0,7,1000,7,6,56.5,0,0,0,0,,,,,,0,0.0,100.0,0.0,0.0,0,0,0,0,0,0,,,,3.0,3,0,0,1,11,0,31.0
10147275,2026-02-14T01:28:00+00:00,335,0,8,1000,7,9,56.5,0,0,0,0,,,,,,0,100.0,100.0,0.0,0.0,0,0,0,0,0,0,,,,1.0,1,0,0,1,4,1,2.35
10146909,2026-02-14T01:35:00+00:00,351,0,1,2000,14,6,61.5,21,4,5,2,,,,3.5,3.488797,0,0.0,100.0,19.05,52.38,5,1,1,0,0,0,,2.0,5.0,3.3333333333333335,2,1,1,4,18,0,27.0
10146909,2026-02-14T01:35:00+00:00,351,0,3,2000,14,11,61.0,36,4,3,8,33.33,,3.0,2.5,2.670711,0,0.0,66.66666666666666,11.11,41.67,13,1,13,0,4,1,41.0,,101.0,7.0,3,0,2,5,7,0,21.0
10146909,2026-02-14T01:35:00+00:00,351,0,4,2000,14,2,60.5,21,5,3,5,,,1.5,3.166667,3.053288,0,0.0,0.0,23.81,61.9,7,2,2,0,2,0,26.0,41.0,3.5,4.333333333333333,1,2,0,2,14,0,14.0
