race_id,start_time_iso,competition_id,is_validation,runner_number,distance_m,active_field_size,draw_number,weight_kg,career_starts,career_wins,career_seconds,career_thirds,freshWinner,secondUpWinner,winningPartnership,hotStreak,recentPodium,trackFamiliarity,distanceFamiliarity,weight_change_from_last_run,weight_change_vs_recent_avg,weight_change_vs_recent_weighted_avg,large_weight_drop_flag,last3_win_percentage,last3_place_percentage,field_size,age,speed_rating,dry_rating,wet_rating,win_percentage,place_percentage,prize_money,good_starts,good_wins,soft_starts,soft_wins,heavy_starts,heavy_wins,distance_starts,distance_wins,track_starts,track_wins,first_up_starts,first_up_wins,second_up_starts,second_up_wins,horse_jockey_starts,horse_jockey_wins,open_price,fluc1,fluc2,recent_1_place,recent_1_distance_m,recent_1_weight_kg,recent_1_barrier,recent_1_track_status_value,recent_1_starting_price,recent_1_margin,recent_1_total_runners,recent_2_place,recent_2_distance_m,recent_2_weight_kg,recent_2_barrier,recent_2_track_status_value,recent_2_starting_price,recent_2_margin,recent_2_total_runners,recent_3_place,recent_3_distance_m,recent_3_weight_kg,recent_3_barrier,recent_3_track_status_value,recent_3_starting_price,recent_3_margin,recent_3_total_runners,recent_4_place,recent_4_distance_m,recent_4_weight_kg,recent_4_barrier,recent_4_track_status_value,recent_4_starting_price,recent_4_margin,recent_4_total_runners,recent_5_place,recent_5_distance_m,recent_5_weight_kg,recent_5_barrier,recent_5_track_status_value,recent_5_starting_price,recent_5_margin,recent_5_total_runners,recent_6_place,recent_6_distance_m,recent_6_weight_kg,recent_6_barrier,recent_6_track_status_value,recent_6_starting_price,recent_6_margin,recent_6_total_runners,recent_runs_count,recent_wins,recent_places,recent_avg_place,recent_best_place,recent_avg_place_3,recent_avg_place_5,recent_win_rate_5,recent_top3_rate_5,recent_avg_margin,recent_best_margin,recent_avg_margin_3,recent_avg_starting_price,recent_same_distance_runs,recent_same_track_runs,recent_same_condition_runs,recent_days_since_last_run,trackExpert,goodGroundPro,softGroundPro,heavyGroundPro,market_open_to_fluc1_move,market_open_to_fluc2_move,market_fluc1_to_fluc2_move,market_open_to_fluc1_move_pct,market_open_to_fluc2_move_pct,market_fluc1_to_fluc2_move_pct,market_total_abs_movement,market_price_range_pct,market_implied_prob_change_open_to_fluc2,market_implied_prob_change_fluc1_to_fluc2,recent_best_speed_mps,recent_avg_speed_mps,recent_best_similar_distance_speed_mps,recent_avg_similar_distance_speed_mps,recent_weighted_avg_place,recent_weighted_avg_margin,recent_weighted_win_rate,recent_weighted_top3_rate,recent_finish_percentile_weighted,recent_market_edge_weighted,recent_avg_weight_kg,recent_weighted_avg_weight_kg,recent_min_weight_kg,recent_max_weight_kg,recent_weight_range_kg,weight_drop_after_close_run_flag,open_price_rank,fluc1_price_rank,fluc2_price_rank,market_steam_rank,speed_rating_rank,win_percentage_rank,place_percentage_rank,last3_win_percentage_rank,last3_place_percentage_rank,recent_best_speed_rank,recent_similar_distance_speed_rank,recent_weighted_avg_place_rank,recent_weighted_avg_margin_rank,recent_weighted_win_rate_rank,recent_weighted_top3_rate_rank,recent_finish_percentile_rank,recent_market_edge_rank,race_consensus_score,race_consensus_rank,dry_rating_rank,wet_rating_rank,prize_money_rank,career_win_rate_rank,career_place_rate_rank,distance_win_rate_rank,track_win_rate_rank,first_up_win_rate_rank,second_up_win_rate_rank,horse_jockey_win_rate_rank,race_overlay_score,race_overlay_rank,race_signal_agreement_score,race_signal_agreement_rank,top3_mask,market_fluc2_baseline
10146904,2026-02-14T03:20:00+00:00,999,0,1,1200,9,3,61.5,58,8,10,7,,,,,,33.33,,5.0,4.75,4.996471,0,0.0,0.0,9,7,77.0,87.0,87.0,13.79,43.1,1475615.0,41,6,13,1,3,0,6,0,12,1,7,0,7,1,1,0,46.0,67.0,61.0,8,2000,56.5,6,,13.0,6.8,13,5,1800,54.0,4,,11.0,3.0,12,8,1700,58.0,6,,13.0,3.8,16,5,1523,55.5,4,,6.0,1.9,10,2,2000,60.0,8,,3.4,0.8,8,5,1600,56.5,4,,31.0,1.3,14,6,0,1,5.5,2,7.0,5.6,0.0,0.2,2.9333333333333336,0.8,4.533333333333333,12.333333333333334,0,2,4,122,,,,,21.0,15.0,-6.0,0.456522,0.326087,-0.089552,27.0,0.456522,-0.005346,0.001468,16.716196,16.426272,,,5.917118,3.43736,0.0,0.113098,0.584124,-0.113589,56.75,56.503529,54.0,60.0,6.0,0,9,8,8,5,3,7,7,3,7,9,,7,8,7,9,5,9,89,8,9,9,1,7,7,7,3,5,8,3,14.896215,7,1,7,0,61.0
10146904,2026-02-14T03:20:00+00:00,999,0,2,1200,9,6,60.0,46,7,9,6,,,,,,,,1.0,2.375,2.438723,0,0.0,0.0,9,8,100.0,90.0,90.0,15.22,47.83,733665.0,31,3,9,3,6,1,2,0,0,0,9,0,8,1,0,0,34.0,101.0,126.0,9,1600,59.0,3,,16.0,4.6,11,12,1400,54.5,9,,19.0,5.8,12,5,1500,56.0,3,,7.0,4.3,6,4,1300,61.0,5,,51.0,2.8,11,1,1250,,2,,,2.8,6,1,900,,3,,,0.1,7,6,2,2,5.333333333333333,1,8.666666666666666,6.2,0.2,0.2,3.4,0.1,4.8999999999999995,14.0,2,0,1,161,,,33.33,,67.0,92.0,25.0,1.970588,2.705882,0.247525,92.0,2.705882,-0.021475,-0.001964,17.031311,16.347174,17.031311,16.547814,6.008288,3.687628,0.264434,0.264434,0.252331,-0.069641,57.625,57.561277,54.5,61.0,6.5,0,8,9,9,8,1,4,6,3,7,6,6,8,9,1,5,9,5,94,9,8,8,3,4,6,7,,5,9,,15.967742,6,0,8,0,126.0
10146904,2026-02-14T03:20:00+00:00,999,0,3,1200,9,1,59.5,33,6,4,3,20.0,25.0,,,,,83.33,5.5,4.666667,4.884372,0,0.0,33.33333333333333,9,6,50.0,98.0,98.0,18.18,39.39,598325.0,26,5,7,1,0,0,25,5,4,0,5,1,4,1,0,0,10.0,26.0,23.0,6,1400,54.0,2,,13.0,2.8,8,2,1200,54.0,11,,41.0,1.8,11,6,1200,54.0,4,,26.0,3.5,9,12,1200,55.0,6,,81.0,5.9,14,7,1200,56.0,2,,21.0,3.2,12,5,1200,56.0,10,,16.0,2.5,10,6,0,1,6.333333333333333,2,4.666666666666667,6.6,0.0,0.2,3.283333333333333,1.8,2.6999999999999997,26.666666666666668,5,1,6,21,,,,,16.0,13.0,-3.0,1.6,1.3,-0.115385,19.0,1.6,-0.056522,0.005017,17.177212,17.052209,17.177212,17.052209,6.055299,3.184634,0.0,0.206772,0.460847,-0.044404,54.833333,54.615628,54.0,56.0,2.0,0,6,6,6,7,6,3,9,3,4,5,5,9,7,7,7,8,3,76,6,4,4,4,3,9,3,4,3,4,,27.230827,5,3,3,0,23.0
10146904,2026-02-14T03:20:00+00:00,999,0,4,1200,9,5,59.5,15,5,4,2,66.67,33.33,36.36,,80.0,33.33,,0.0,0.75,0.90639,0,0.0,66.66666666666666,9,4,0.0,98.0,98.0,33.33,73.33,453050.0,10,4,4,0,0,0,4,2,6,0,3,2,3,1,11,4,5.0,4.2,4.4,2,1400,59.5,8,,4.4,0.4,10,2,1400,59.5,4,,7.5,0.5,8,7,1400,54.0,7,,5.5,2.9,11,3,1400,59.5,8,,4.4,4.8,13,1,1440,60.0,6,,5.0,0.8,12,1,1250,60.0,2,,3.0,0.2,10,6,2,5,2.6666666666666665,1,3.6666666666666665,3.0,0.2,0.8,1.5999999999999999,0.2,1.2666666666666666,5.8,1,2,5,28,66.67,40.0,,,-0.8,-0.6,0.2,-0.16,-0.12,0.047619,1.0,0.16,0.027273,-0.010823,16.934801,16.830319,16.934801,16.826385,2.841141,1.512029,0.219378,0.815258,0.808451,0.013273,58.75,58.59361,54.0,60.0,6.0,0,2,2,2,4,9,1,1,3,1,7,7,1,1,3,1,1,2,35,3,4,4,6,1,1,1,4,1,2,2,46.5005,2,3,3,1,4.4
10146904,2026-02-14T03:20:00+00:00,999,0,5,1200,9,8,57.0,19,6,0,5,40.0,25.0,,,,33.33,66.67,-1.5,-1.583333,-1.213538,0,0.0,33.33333333333333,9,5,62.0,99.0,99.0,31.58,57.89,276400.0,11,3,6,1,2,2,6,1,3,0,5,2,4,1,0,0,9.5,4.5,4.4,3,1100,58.5,5,,21.0,1.9,10,5,1100,57.0,5,,5.5,2.7,7,5,1400,59.0,4,,14.0,2.7,10,5,1200,59.0,3,,4.6,1.9,13,3,1200,59.0,9,,16.0,1.0,12,4,1420,59.0,8,,14.0,1.0,13,6,0,2,4.166666666666667,3,4.333333333333333,4.2,0.0,0.4,1.8666666666666665,1.0,2.4333333333333336,13.5,4,2,3,14,66.67,27.27,,100.0,-5.0,-5.1,-0.1,-0.526316,-0.536842,-0.022222,5.1,0.536842,0.12201,0.005051,17.399557,16.913104,17.399557,16.927203,4.063901,2.097499,0.0,0.436227,0.610838,-0.109315,58.583333,58.213538,57.0,59.0,2.0,0,5,3,2,1,5,2,2,3,4,3,3,4,4,7,4,4,8,28,2,2,2,8,2,2,4,4,2,4,,46.060573,3,4,1,0,4.4
10146904,2026-02-14T03:20:00+00:00,999,0,6,1200,9,9,56.0,20,3,4,3,,50.0,,,,,,-3.5,-1.7,-1.35434,1,0.0,0.0,9,5,33.0,96.0,96.0,15.0,50.0,418740.0,18,3,2,0,0,0,4,0,3,0,4,0,4,2,0,0,7.5,27.0,31.0,4,1400,59.5,1,,8.0,1.7,8,5,1400,54.0,9,,26.0,2.2,11,9,1400,58.0,2,,26.0,3.5,13,1,1000,,1,,,0.8,8,13,1400,59.0,3,,5.0,15.7,13,5,1400,58.0,5,,5.5,2.3,9,6,1,1,6.166666666666667,1,6.0,6.4,0.2,0.2,4.366666666666666,0.8,2.466666666666667,20.0,0,0,6,42,66.67,,,,19.5,23.5,4.0,2.6,3.133333,0.148148,23.5,3.133333,-0.101075,-0.004779,16.934801,16.658865,16.934801,16.658865,5.087736,2.557211,0.1802,0.1802,0.493163,-0.082155,57.7,57.35434,54.0,59.5,5.5,1,4,7,7,9,7,5,4,3,7,7,7,5,6,5,8,7,6,83,7,6,6,7,5,4,7,4,5,1,,49.166667,1,4,1,0,31.0
10146904,2026-02-14T03:20:00+00:00,999,0,7,1200,9,2,55.0,23,2,6,4,,20.0,,,60.0,33.33,100.0,-1.5,-3.583333,-4.168141,0,33.33333333333333,66.66666666666666,9,4,92.0,99.0,99.0,8.7,52.17,958050.0,19,2,4,0,0,0,8,1,6,1,5,0,5,1,0,0,2.8,2.4,2.45,6,1100,56.5,6,,4.0,2.5,10,3,1200,61.5,3,,4.4,0.7,12,1,1200,60.5,1,,5.0,0.4,15,5,1200,59.5,5,,2.8,3.3,10,3,1100,59.5,5,,7.0,1.7,9,5,1200,54.0,6,,5.0,4.0,12,6,1,3,3.8333333333333335,1,3.3333333333333335,3.6,0.2,0.6,2.1,0.4,1.2,4.466666666666667,6,2,5,14,,,,,-0.4,-0.35,0.05,-0.142857,-0.125,0.020833,0.45,0.142857,0.05102,-0.008503,17.265735,17.10353,17.265735,17.10353,3.764806,1.807494,0.188862,0.54863,0.699789,-0.047056,58.583333,59.168141,54.0,61.5,7.5,0,1,1,1,3,2,9,3,1,1,4,4,2,3,4,3,2,4,25,1,2,2,2,9,3,6,1,5,7,,2.927632,9,0,8,1,2.45
10146904,2026-02-14T03:20:00+00:00,999,0,8,1200,9,4,54.0,35,5,5,7,20.0,25.0,,,60.0,33.33,100.0,0.0,-3.166667,-2.75776,0,33.33333333333333,66.66666666666666,9,6,65.0,100.0,100.0,14.29,48.57,587000.0,23,5,11,0,1,0,13,2,6,1,5,1,4,1,1,1,13.0,9.0,9.5,3,1200,54.0,12,,8.0,2.5,12,1,1200,57.5,9,,31.0,0.5,12,5,1200,55.0,1,,12.0,2.3,8,9,1100,60.5,4,,11.0,4.4,11,2,1100,60.5,6,,4.6,1.8,12,6,1200,55.5,4,,11.0,1.7,11,6,1,3,4.333333333333333,1,3.0,4.0,0.2,0.6,2.1999999999999997,0.5,1.7666666666666666,17.0,6,2,6,28,,21.74,,,-4.0,-3.5,0.5,-0.307692,-0.269231,0.055556,4.5,0.307692,0.02834,-0.005848,17.446932,17.055931,17.446932,17.055931,3.994457,2.137216,0.220028,0.562257,0.671913,0.121689,57.166667,56.75776,54.0,60.5,6.5,0,7,4,4,2,4,6,5,1,1,1,1,3,5,2,2,3,1,35,3,1,1,5,6,5,5,1,3,4,1,4.481605,8,2,5,0,9.5
10146904,2026-02-14T03:20:00+00:00,999,0,9,1200,9,7,54.0,15,2,1,3,,33.33,,,,,66.67,0.0,-3.5,-3.565138,0,0.0,33.33333333333333,9,4,7.0,96.0,96.0,13.33,40.0,181850.0,7,1,7,1,1,0,5,2,1,0,3,0,3,1,0,0,5.5,12.0,11.0,4,1100,54.0,8,,8.5,2.0,10,5,1200,58.5,7,,4.4,1.6,12,3,1000,60.5,2,,4.0,0.3,10,11,1000,59.0,12,,19.0,2.9,12,7,1100,59.0,8,,13.0,2.1,12,1,1200,54.0,8,,16.0,1.3,10,6,1,2,5.166666666666667,1,4.0,6.0,0.0,0.2,1.7,0.3,1.3,5.633333333333333,4,1,4,14,,,,,6.5,5.5,-1.0,1.181818,1.0,-0.083333,7.5,1.181818,-0.090909,0.007576,17.415535,17.120442,17.415535,17.120442,5.319229,1.698184,0.061357,0.260707,0.583346,-0.089158,57.5,57.565138,54.0,60.5,6.5,0,3,5,5,6,8,8,8,3,4,2,2,6,2,6,6,6,7,59,5,6,6,9,8,8,2,4,5,2,,39.928521,4,2,5,1,11.0
10150512,2026-02-14T03:36:00+00:00,999,0,2,1000,13,3,59.0,0,0,0,0,,,,,,,,,,,0,,,18,3,86.0,79.0,79.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,10.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,0,0,0,,,,,,2.0,3.0,1.0,0.25,0.375,0.1,3.0,0.375,-0.034091,-0.009091,,,,,,,,,,,,,,,,0,4,5,5,6,3,1,3,,,,,,,,,,,96,8,6,6,7,,,,,,,,0.0,6,0,4,0,11.0
