feature,permutation_scope,auc_drop_mean,auc_drop_sd,top3_hit_drop_mean,top3_hit_drop_sd,top3_mrr_drop_mean,top3_mrr_drop_sd
recent_finish_percentile_rank,within-race,0.0016851858723368808,0.00017220162342892684,0.0054373522458628695,0.0035539707750290696,0.0012008152079074131,0.00146204383732516
current_form_strength_rank_in_race,within-race,0.0014134722116518673,0.00046221783139888584,0.004964539007092206,0.0031184174842252806,0.000837491245292632,0.0005615701139642156
recent_2_margin,within-race,0.0003726076516359811,0.0002606274385794518,0.0044917257683214865,0.002292047213908435,0.000873368160602217,0.0007270047492631307
recent_margin_quality_weighted_3_zscore_in_race,within-race,0.00045020803060034085,0.00022981625389897976,0.004491725768321475,0.003292763186095578,-0.0006630649361146102,0.0005531271104659645
age,within-race,0.00026754134007334063,0.00021099464389515518,0.004255319148936143,0.0009456264775413697,0.00029399875144553445,0.0003338944608066451
place_percentage_rank,within-race,0.00023182593022752496,0.00018871251021946458,0.004255319148936121,0.0012054419653883559,0.00045244222549183365,0.0005657581623636753
dry_rating_rank,within-race,0.01197705769391062,0.0036182103867964236,0.004018912529550778,0.006753123809496793,0.005111110979905242,0.003796307207478462
form_average_finish_percentile_6,within-race,0.0001578712420470918,5.1365755227778156e-05,0.0033096926713947926,0.0004728132387707085,-0.00022149048744798394,0.00024227474190240033
dry_rating,within-race,0.002092972283562089,0.0007522003462443496,0.0033096926713947596,0.0008845525737054277,0.001815956567729593,0.00032660836228784294
performance_at_current_or_stronger_class,within-race,0.00030699689154416453,0.00019160859298898874,0.003073286052009405,0.0016033877028664714,-9.782639215267785e-05,0.001853163260378948
condition_finish_percentile,within-race,0.00025464127544265746,0.0005401711041940796,0.003073286052009405,0.0012054419653883342,-0.0008379051996073473,0.0009368279309856121
sectional_closing_speed_ratio_weighted_3,within-race,-0.0005139527845704484,0.00022425783249746878,0.003073286052009405,0.0009456264775413586,-0.0014552481928368666,0.001096601921549508
condition_win_rate_smoothed,within-race,0.0004879160053859577,0.0002968000740976993,0.003073286052009394,0.0016033877028664763,0.0008521554620845251,0.000939939720117666
recent_best_similar_distance_speed_mps,within-race,-8.335326806208077e-05,0.0002584811672962353,0.002836879432624084,0.000579075589310472,0.0012280463166987944,0.0007516101264178588
class_adjusted_finish_percentile_weighted_3_gap_to_best,within-race,0.00028741338073907664,7.290441660065781e-05,0.002836879432624084,0.001205441965388369,0.00024327130710107835,0.0007210101361581707
sectional_last600_best_6,within-race,8.82723170632982e-05,0.00017995969766040307,0.002836879432624084,0.0009456264775413892,-8.577579499565723e-05,0.00044377374182670966
jockey_trainer_history_smoothed_top3_rate_zscore_in_race,within-race,0.00017679114352830982,0.00021286207250984055,0.0028368794326240733,0.001920576454996688,0.0010526031625322173,0.001114109811672747
speed_rating_rank,within-race,-0.00018674053192579976,0.0003535620541931214,0.0028368794326240733,0.0023163023572417827,-2.0892556353535598e-05,0.00072084772910415
recent_finish_percentile_slope_6,within-race,0.0002237682128138685,0.00028582832586795313,0.002836879432624062,0.001603387702866496,0.0019270006326743694,0.00037212202843347954
