feature,direction,total_top3_hits,possible_top3_hits,top3_capture_rate,races_with_3_of_3,races_with_2plus_of_3,races_tested,winner_hits,winner_races_tested,winner_hit_rate,winner_rank_total,mean_winner_rank,winner_top3_hits,winner_top3_rate
recent_finish_percentile_weighted_6,DESC,1555,4572,0.3401137357830271,23,384,1524,81,1524,0.0531496062992126,9770,6.410761154855643,314,0.20603674540682415
recent_finish_percentile_weighted_6_gap_to_best,ASC,1555,4572,0.3401137357830271,23,384,1524,81,1524,0.0531496062992126,9770,6.410761154855643,314,0.20603674540682415
recent_finish_percentile_weighted_6_minus_race_mean,DESC,1555,4572,0.3401137357830271,23,384,1524,81,1524,0.0531496062992126,9770,6.410761154855643,314,0.20603674540682415
recent_finish_percentile_weighted_6_minus_race_median,DESC,1555,4572,0.3401137357830271,23,384,1524,81,1524,0.0531496062992126,9770,6.410761154855643,314,0.20603674540682415
recent_finish_percentile_weighted_6_pct_in_race,DESC,1555,4572,0.3401137357830271,23,384,1524,81,1524,0.0531496062992126,9770,6.410761154855643,314,0.20603674540682415
recent_finish_percentile_weighted_6_rank_in_race,ASC,1555,4572,0.3401137357830271,23,384,1524,81,1524,0.0531496062992126,9770,6.410761154855643,314,0.20603674540682415
recent_finish_percentile_weighted_6_zscore_in_race,DESC,1555,4572,0.3401137357830271,23,384,1524,81,1524,0.0531496062992126,9770,6.410761154855643,314,0.20603674540682415
recent_finish_percentile_avg_3,DESC,1553,4572,0.339676290463692,20,385,1524,83,1524,0.05446194225721785,9711,6.372047244094488,344,0.22572178477690288
class_adjusted_margin_quality_weighted_6,DESC,1355,4008,0.3380738522954092,12,337,1336,70,1336,0.05239520958083832,8514,6.372754491017964,267,0.1998502994011976
recent_finish_percentile_weighted_3,DESC,1542,4572,0.33727034120734906,16,374,1524,85,1524,0.0557742782152231,9793,6.425853018372703,338,0.22178477690288714
recent_finish_percentile_weighted_3_gap_to_best,ASC,1542,4572,0.33727034120734906,16,374,1524,85,1524,0.0557742782152231,9793,6.425853018372703,338,0.22178477690288714
recent_finish_percentile_weighted_3_minus_race_mean,DESC,1542,4572,0.33727034120734906,16,374,1524,85,1524,0.0557742782152231,9793,6.425853018372703,338,0.22178477690288714
recent_finish_percentile_weighted_3_minus_race_median,DESC,1542,4572,0.33727034120734906,16,374,1524,85,1524,0.0557742782152231,9793,6.425853018372703,338,0.22178477690288714
recent_finish_percentile_weighted_3_pct_in_race,DESC,1542,4572,0.33727034120734906,16,374,1524,85,1524,0.0557742782152231,9793,6.425853018372703,338,0.22178477690288714
