feature,direction,total_top3_hits,possible_top3_hits,top3_capture_rate,races_with_3_of_3,races_with_2plus_of_3,races_tested,winner_hits,winner_races_tested,winner_hit_rate,winner_rank_total,mean_winner_rank,winner_top3_hits,winner_top3_rate
class_drop_from_recent_best,ASC,29,66,0.4393939393939394,0,11,22,3,22,0.13636363636363635,124,5.636363636363637,8,0.36363636363636365
hidden_sectional_run_last1,ASC,28,66,0.42424242424242425,1,8,22,1,22,0.045454545454545456,128,5.818181818181818,7,0.3181818181818182
weight_drop_after_close_run_flag,DESC,19,45,0.4222222222222222,0,6,15,1,15,0.06666666666666667,95,6.333333333333333,6,0.4
recent_best_class,ASC,34,81,0.41975308641975306,0,12,27,4,27,0.14814814814814814,152,5.62962962962963,10,0.37037037037037035
same_track_distance_margin_quality,DESC,31,75,0.41333333333333333,0,11,25,4,25,0.16,136,5.44,12,0.48
recent_margin_quality_last1,DESC,32,81,0.3950617283950617,1,10,27,1,27,0.037037037037037035,174,6.444444444444445,6,0.2222222222222222
recent_3_margin,ASC,32,81,0.3950617283950617,1,9,27,1,27,0.037037037037037035,168,6.222222222222222,10,0.37037037037037035
recent_margin_quality_weighted_3,DESC,32,81,0.3950617283950617,1,9,27,0,27,0.0,183,6.777777777777778,6,0.2222222222222222
recent_margin_quality_weighted_3_gap_to_best,ASC,32,81,0.3950617283950617,1,9,27,0,27,0.0,183,6.777777777777778,6,0.2222222222222222
recent_margin_quality_weighted_3_minus_race_mean,DESC,32,81,0.3950617283950617,1,9,27,0,27,0.0,183,6.777777777777778,6,0.2222222222222222
recent_margin_quality_weighted_3_minus_race_median,DESC,32,81,0.3950617283950617,1,9,27,0,27,0.0,183,6.777777777777778,6,0.2222222222222222
recent_margin_quality_weighted_3_pct_in_race,DESC,32,81,0.3950617283950617,1,9,27,0,27,0.0,183,6.777777777777778,6,0.2222222222222222
recent_margin_quality_weighted_3_rank_in_race,ASC,32,81,0.3950617283950617,1,9,27,0,27,0.0,183,6.777777777777778,6,0.2222222222222222
recent_margin_quality_weighted_3_zscore_in_race,DESC,32,81,0.3950617283950617,1,9,27,0,27,0.0,183,6.777777777777778,6,0.2222222222222222
form_class_level_weighted_6,ASC,32,81,0.3950617283950617,0,9,27,5,27,0.18518518518518517,165,6.111111111111111,10,0.37037037037037035
recent_1_margin,ASC,32,81,0.3950617283950617,0,9,27,2,27,0.07407407407407407,169,6.2592592592592595,8,0.2962962962962963
recent_class_weighted_6,ASC,32,81,0.3950617283950617,0,9,27,5,27,0.18518518518518517,165,6.111111111111111,10,0.37037037037037035
same_track_distance_finish_percentile,DESC,29,75,0.38666666666666666,0,10,25,4,25,0.16,136,5.44,11,0.44
historical_implied_probability_weighted_3,DESC,31,81,0.38271604938271603,0,9,27,3,27,0.1111111111111111,180,6.666666666666667,6,0.2222222222222222
similar_distance_finish_percentile_avg,DESC,31,81,0.38271604938271603,0,9,27,3,27,0.1111111111111111,183,6.777777777777778,7,0.25925925925925924
similar_distance_margin_quality_weighted,DESC,31,81,0.38271604938271603,0,8,27,3,27,0.1111111111111111,169,6.2592592592592595,8,0.2962962962962963
recent_avg_margin_3,ASC,31,81,0.38271604938271603,0,7,27,0,27,0.0,176,6.518518518518518,7,0.25925925925925924
recent_finish_percentile_weighted_6,DESC,31,81,0.38271604938271603,0,7,27,1,27,0.037037037037037035,186,6.888888888888889,8,0.2962962962962963
recent_finish_percentile_weighted_6_gap_to_best,ASC,31,81,0.38271604938271603,0,7,27,1,27,0.037037037037037035,186,6.888888888888889,8,0.2962962962962963
recent_finish_percentile_weighted_6_minus_race_mean,DESC,31,81,0.38271604938271603,0,7,27,1,27,0.037037037037037035,186,6.888888888888889,8,0.2962962962962963
recent_finish_percentile_weighted_6_minus_race_median,DESC,31,81,0.38271604938271603,0,7,27,1,27,0.037037037037037035,186,6.888888888888889,8,0.2962962962962963
recent_finish_percentile_weighted_6_pct_in_race,DESC,31,81,0.38271604938271603,0,7,27,1,27,0.037037037037037035,186,6.888888888888889,8,0.2962962962962963
recent_finish_percentile_weighted_6_rank_in_race,ASC,31,81,0.38271604938271603,0,7,27,1,27,0.037037037037037035,186,6.888888888888889,8,0.2962962962962963
recent_finish_percentile_weighted_6_zscore_in_race,DESC,31,81,0.38271604938271603,0,7,27,1,27,0.037037037037037035,186,6.888888888888889,8,0.2962962962962963
recent_margin_quality_avg_3,DESC,31,81,0.38271604938271603,0,7,27,2,27,0.07407407407407407,181,6.703703703703703,6,0.2222222222222222
recent_last600_std_6,DESC,25,66,0.3787878787878788,0,8,22,2,22,0.09090909090909091,155,7.045454545454546,7,0.3181818181818182
sectional_last600_std_6,DESC,25,66,0.3787878787878788,0,8,22,2,22,0.09090909090909091,155,7.045454545454546,7,0.3181818181818182
sectional_ceiling_6,DESC,25,66,0.3787878787878788,0,7,22,3,22,0.13636363636363635,110,5.0,10,0.45454545454545453
large_weight_drop_flag,DESC,18,48,0.375,1,4,16,2,16,0.125,96,6.0,7,0.4375
jockey_trainer_history_win_rate,DESC,28,75,0.37333333333333335,1,7,25,3,25,0.12,147,5.88,9,0.36
recent_barrier_percentile_last1,DESC,28,75,0.37333333333333335,0,6,25,2,25,0.08,173,6.92,7,0.28
recent_1_starting_price,ASC,30,81,0.37037037037037035,1,6,27,1,27,0.037037037037037035,194,7.185185185185185,5,0.18518518518518517
career_starts,ASC,30,81,0.37037037037037035,0,8,27,3,27,0.1111111111111111,169,6.2592592592592595,10,0.37037037037037035
recent_avg_starting_price,ASC,30,81,0.37037037037037035,0,8,27,3,27,0.1111111111111111,181,6.703703703703703,6,0.2222222222222222
recent_margin_avg_3,ASC,30,81,0.37037037037037035,0,8,27,1,27,0.037037037037037035,181,6.703703703703703,6,0.2222222222222222
similar_distance_margin_quality_avg,DESC,30,81,0.37037037037037035,0,7,27,3,27,0.1111111111111111,185,6.851851851851852,5,0.18518518518518517
class_adjusted_finish_percentile_last1,DESC,24,66,0.36363636363636365,1,8,22,2,22,0.09090909090909091,140,6.363636363636363,5,0.22727272727272727
recent_last600_best_3,ASC,24,66,0.36363636363636365,1,6,22,2,22,0.09090909090909091,127,5.7727272727272725,9,0.4090909090909091
sectional_consistency_6,ASC,24,66,0.36363636363636365,0,7,22,6,22,0.2727272727272727,114,5.181818181818182,12,0.5454545454545454
form_barrier_percentile_weighted_6,DESC,27,75,0.36,1,6,25,5,25,0.2,154,6.16,11,0.44
heavyGroundPro,DESC,14,39,0.358974358974359,0,3,13,1,13,0.07692307692307693,88,6.769230769230769,4,0.3076923076923077
historical_market_overperformance_weighted_3,DESC,29,81,0.35802469135802467,2,7,27,4,27,0.14814814814814814,158,5.851851851851852,8,0.2962962962962963
historical_market_overperformance_weighted_3_gap_to_best,ASC,29,81,0.35802469135802467,2,7,27,4,27,0.14814814814814814,158,5.851851851851852,8,0.2962962962962963
historical_market_overperformance_weighted_3_minus_race_mean,DESC,29,81,0.35802469135802467,2,7,27,4,27,0.14814814814814814,158,5.851851851851852,8,0.2962962962962963
historical_market_overperformance_weighted_3_minus_race_median,DESC,29,81,0.35802469135802467,2,7,27,4,27,0.14814814814814814,158,5.851851851851852,8,0.2962962962962963
historical_market_overperformance_weighted_3_pct_in_race,DESC,29,81,0.35802469135802467,2,7,27,4,27,0.14814814814814814,158,5.851851851851852,8,0.2962962962962963
historical_market_overperformance_weighted_3_rank_in_race,ASC,29,81,0.35802469135802467,2,7,27,4,27,0.14814814814814814,158,5.851851851851852,8,0.2962962962962963
historical_market_overperformance_weighted_3_zscore_in_race,DESC,29,81,0.35802469135802467,2,7,27,4,27,0.14814814814814814,158,5.851851851851852,8,0.2962962962962963
historical_market_overperformance_last1,DESC,29,81,0.35802469135802467,2,6,27,4,27,0.14814814814814814,165,6.111111111111111,9,0.3333333333333333
recent_finish_percentile_last1,DESC,29,81,0.35802469135802467,1,7,27,1,27,0.037037037037037035,175,6.481481481481482,7,0.25925925925925924
same_track_finish_percentile,DESC,29,81,0.35802469135802467,1,7,27,0,27,0.0,173,6.407407407407407,9,0.3333333333333333
recent_1_place,ASC,29,81,0.35802469135802467,1,6,27,1,27,0.037037037037037035,177,6.555555555555555,7,0.25925925925925924
jockey_rank_minus_market_rank,DESC,29,81,0.35802469135802467,0,9,27,0,27,0.0,205,7.592592592592593,5,0.18518518518518517
form_class_level_weighted_3,ASC,29,81,0.35802469135802467,0,8,27,6,27,0.2222222222222222,168,6.222222222222222,10,0.37037037037037035
margin_market_rank_abs_gap,ASC,29,81,0.35802469135802467,0,8,27,6,27,0.2222222222222222,152,5.62962962962963,9,0.3333333333333333
recent_avg_place,ASC,29,81,0.35802469135802467,0,8,27,3,27,0.1111111111111111,190,7.037037037037037,6,0.2222222222222222
recent_class_avg_3,ASC,29,81,0.35802469135802467,0,8,27,6,27,0.2222222222222222,167,6.185185185185185,10,0.37037037037037035
recent_margin_quality_weighted_6,DESC,29,81,0.35802469135802467,0,7,27,0,27,0.0,185,6.851851851851852,4,0.14814814814814814
