feature,coverage,mean_composite_delta,median_composite_delta,worst_composite_delta,best_composite_delta,positive_folds,nonnegative_folds,alpha_sign_consistency,mean_alpha,mean_absolute_alpha,stable_candidate
recent_best_margin,0.9820305727926911,0.0018465224350676212,0.0019690019916733803,0.00016728119282383158,0.0035182888528120237,5,5,5,-0.12775612795528465,0.12775612795528465,True
recent_6_margin,0.8161642290070034,0.0014647393894110516,0.0015927144134535443,-0.0003793035115102761,0.002753453436879827,4,4,5,-0.06842969592465849,0.06842969592465849,True
recent_2_barrier,0.9159454587982774,0.0011627332626176878,0.0012237216420190045,0.00034598140576669323,0.0023732086540909636,5,5,5,-0.009851413188960387,0.009851413188960387,True
recent_6_total_runners,0.8161642290070034,0.0011516742583138396,0.0011628014058738811,0.0005240517993532201,0.0016245667770792283,5,5,5,-0.01207309331715332,0.01207309331715332,True
recent_1_margin,0.9820305727926911,0.001076532671576058,0.0009134015924716632,-0.00037044830664423323,0.0032894032668886464,4,4,5,-0.14981156700915368,0.14981156700915368,True
form_barrier_percentile_weighted_6,0.9401477730843848,0.0009332835439481268,0.0008156095685751819,-0.001169049390640553,0.003138941602782941,4,4,5,-0.011599629581568743,0.011599629581568743,True
recent_3_total_runners,0.9240358287813536,0.0008298379721731975,0.0011767970876184197,-0.001041504887575706,0.0016438499591713285,4,4,5,0.02462974695554112,0.02462974695554112,True
recent_avg_similar_distance_speed_mps,0.9106619518705541,0.0007767276918208665,0.00032763051081441397,-0.0005333274635286323,0.00276951659515412,4,4,5,0.05286857695000239,0.05286857695000239,True
recent_best_place,0.9820305727926911,0.0007571646435083235,0.0007705675778003629,-0.0005906568586515615,0.0017222201139407423,4,4,5,-0.13436212020292,0.13436212020292,True
recent_best_similar_distance_speed_mps,0.9106619518705541,0.0006100891590704594,0.0011404353863179173,-0.0013860864745010026,0.0013840611130644387,4,4,5,0.0589028945883492,0.0589028945883492,True
recent_similar_distance_speed_rank,0.9106619518705541,0.0006100891590704594,0.0011404353863179173,-0.0013860864745010026,0.0013840611130644387,4,4,5,-0.0589028945883492,0.0589028945883492,True
recent_2_weight_kg,0.8079913042281814,0.0005744783249604258,0.00042508109468175626,7.761842027165233e-05,0.0016072555948186684,5,5,5,0.03252934709530407,0.03252934709530407,True
recent_6_track_status_value,0.4052064557850273,0.0004825741265620964,0.00032013466937819146,7.462544827252504e-05,0.0015661077752027186,5,5,5,-0.013573695152481705,0.013573695152481705,True
weight_change_from_last_run,0.8643762297224783,0.0004548995355531327,0.0007902416803311496,-0.0012401045567147495,0.0013795647429576396,4,4,5,0.04836343571394276,0.04836343571394276,True
recent_4_distance_m,0.8886610988043314,0.0004485384912217727,0.0005852185720173209,-0.0005291091674355375,0.0009511228335847832,4,4,5,-0.023832639167685625,0.023832639167685625,True
recent_6_place,0.8161642290070034,0.00038755955854827826,0.000534443109909355,-0.0017640428677012654,0.0016909932822513074,4,4,5,-0.0556777319914593,0.0556777319914593,True
