feature,coverage,mean_composite_delta,median_composite_delta,worst_composite_delta,best_composite_delta,positive_folds,nonnegative_folds,alpha_sign_consistency,mean_alpha,mean_absolute_alpha,stable_candidate
recent_6_barrier,0.7820553392314149,0.0006076967757426555,0.0003654144079819899,-0.0016309271604598718,0.0035948614476020158,4,4,6,-0.004327580400596453,0.004503632668134668,False
recent_1_barrier,0.9401477730843848,0.000584235656417062,0.0004743505225459077,-0.00100553611260501,0.0029584951124242975,5,5,6,-0.010435028938164007,0.011742335281833164,False
recent_5_barrier,0.8162055064048762,0.0005824217474475479,0.0007757831840299323,-0.0026206964884895045,0.0032646949003185544,4,4,8,-0.008721018270772842,0.008721018270772842,False
sectional_last600_best_6,0.8284373753078605,0.0005746463167801419,0.0006698358777983415,-0.0013448364738433138,0.0026296052909410284,5,5,8,-0.03468941826371866,0.03468941826371866,False
recent_3_total_runners,0.9240358287813536,0.0005705500077405612,0.001159567610291179,-0.0013695907199154922,0.0016438499591713285,6,6,8,0.02334747089257968,0.02334747089257968,False
form_barrier_percentile_weighted_6,0.9401477730843848,0.0005473525479135904,0.0006381589957230038,-0.0021946541041206746,0.003138941602782941,5,5,8,-0.01822003328081681,0.01822003328081681,False
recent_6_total_runners,0.8161642290070034,0.0005189589361660751,0.0010482849074093248,-0.0022565142038883934,0.0021671603974056097,6,6,7,-0.008312907422087271,0.010574603312308174,False
recent_best_similar_distance_speed_mps,0.9106619518705541,0.0004350843200704585,0.0008720219874319701,-0.0013860864745010026,0.0014378509471735246,5,5,8,0.0629695954482363,0.0629695954482363,False
recent_similar_distance_speed_rank,0.9106619518705541,0.0004350843200704585,0.0008720219874319701,-0.0013860864745010026,0.0014378509471735246,5,5,8,-0.0629695954482363,0.0629695954482363,False
recent_same_track_runs,1.0,0.0004270066806294215,0.0006340598271295517,-0.0012899986937304764,0.0017776689739150697,5,5,8,0.04184853633088998,0.04184853633088998,False
recent_avg_similar_distance_speed_mps,0.9106619518705541,0.0004126721046499998,6.272577020965953e-05,-0.0005333274635286323,0.00276951659515412,4,4,8,0.052612155099166336,0.052612155099166336,False
track_starts,0.9989267876553062,0.00040444078836326947,0.0004971559910294521,-0.0010456464918996433,0.0024442901855995514,5,5,8,0.018036461311635943,0.018036461311635943,False
recent_2_barrier,0.9159454587982774,0.00038388127044085285,0.0004312239292770248,-0.001588044471336092,0.0023732086540909636,5,5,8,-0.009532911150736786,0.009532911150736786,False
recent_6_track_status_value,0.4052064557850273,0.0003752420515652083,0.00020433540532116545,-0.0004657784373798268,0.0015661077752027186,6,7,7,-0.009182435820139067,0.009182435820139067,False
sectional_closing_speed_ratio_weighted_6,0.8284373753078605,0.00034565253050533595,0.0005635363383113545,-0.0013458145589362314,0.0016530390440977483,5,5,8,0.02261445661214764,0.02261445661214764,False
form_barrier_percentile_weighted_3,0.9401477730843848,0.0003380209350287572,0.0004805075121157576,-0.0021737439972305816,0.0026260039095401533,4,4,8,-0.02177987639316421,0.02177987639316421,False
trainer_recent_top3_excess,0.9621073487527346,0.0003330772521391856,-0.00023497919780274268,-0.00112227413572763,0.002654525648891126,4,4,8,0.06417082630003915,0.06417082630003915,False
form_margin_std_3,0.9566862504987685,0.00032544594332245547,0.0004963893247327822,-0.0016477466182284184,0.0023028702884710928,5,5,8,-0.13649885266012032,0.13649885266012032,False
weight_change_from_last_run,0.8643762297224783,0.0002875900674337156,0.00037822814918686554,-0.0012401045567147495,0.0013795647429576396,5,5,8,0.0510846145731258,0.0510846145731258,False
distanceFamiliarity,0.4273586593101171,0.0002787721763569395,0.000282296985621433,-0.00038902210419977656,0.0013703492540768636,5,5,8,0.005910409338979415,0.005910409338979415,False
recent_win_rate_5,0.9820305727926911,0.0002765171253105575,0.00045206363198724286,-0.001524961743019304,0.0018171574610162944,5,5,8,0.0709699875096021,0.0709699875096021,False
recent_6_margin,0.8161642290070034,0.00027065796862081604,0.00037458604764850634,-0.0020578890813175432,0.002753453436879827,4,4,8,-0.0718726905497722,0.0718726905497722,False
recent_6_distance_m,0.8161642290070034,0.00023920423136773727,-0.0001739021977847921,-0.000978106501819842,0.0018172086715293467,3,3,8,-0.020886110592765843,0.020886110592765843,False
form_margin_trend,0.9566862504987685,0.00023825470743864263,0.0005554686165741285,-0.0032132401699225266,0.002550266264165879,4,4,8,0.011759092405628543,0.011759092405628543,False
form_field_size_weighted_6,0.9820305727926911,0.0002324590036591606,0.00030634915792743245,-0.0009551712154629577,0.0008338829657961178,6,6,8,0.03160653066134015,0.03160653066134015,False
recent_2_weight_kg,0.8079913042281814,0.0002067727773244904,0.00033079268941765827,-0.0019931548701708213,0.0022958236818507727,6,6,8,0.03304729952163806,0.03304729952163806,False
class_drop_from_recent_best,0.824323394653201,0.00020346799958635697,0.00020900285627745152,-0.0010812576047957156,0.0010341638120385799,5,5,6,0.004761847616633714,0.006140112783348506,False
trackFamiliarity,0.21812352949270078,0.00019661104336077262,0.000473212280675539,-0.000990156023893518,0.0010000627875617063,5,5,8,0.022886855065891165,0.022886855065891165,False
recent_4_track_status_value,0.4428927200429285,0.00019634483312228057,-1.5567708221142507e-05,-0.0014818447177118443,0.0027010009665092705,3,4,5,0.003766775418931545,0.005408234788576655,False
good_starts,0.9989267876553062,0.00019226943984336498,0.00012244518392012793,-0.0011860629952826773,0.0015606033890906978,5,5,7,-0.003800876263766124,0.004298292250697413,False
recent_4_margin,0.8886610988043314,0.00018365844631351713,0.0003507021548597722,-0.001940969525042302,0.002210312747426779,5,5,8,-0.09973530496243727,0.09973530496243727,False
prize_money,0.9989267876553062,0.00017910284652818131,0.00036438410121603093,-0.0024411168828971652,0.0028821184052820747,5,5,8,0.09328561257514006,0.09328561257514006,False
prize_money_rank,0.9989267876553062,0.00017910284652818131,0.00036438410121603093,-0.0024411168828971652,0.0028821184052820747,5,5,8,-0.09328561257514006,0.09328561257514006,False
