feature,selected_value,comparison_value,selected_shap_mean,comparison_shap_mean,shap_delta_mean,shap_delta_sd,member_sign_agreement,absolute_delta
jockey_history_top3_excess,-0.08870495855808258,0.20807047188282013,-0.06446921080350876,0.11088018367687862,-0.17534939448038736,0.001898869977299089,1.0,0.17534939448038736
recent_margin_quality_weighted_3_minus_race_mean,0.20509564876556396,-0.09466779232025146,0.027814338604609173,-0.05549218008915583,0.083306518693765,0.01065430915959674,1.0,0.083306518693765
trainer_history_top3_excess,0.08561423420906067,-0.0003803938743658364,0.03213620372116566,-0.033271964018543564,0.06540816773970921,0.0035182284363219395,1.0,0.06540816773970921
good_starts,2.0,11.0,0.02883707048992316,-0.015540148131549358,0.044377218621472515,0.0012923497919966566,1.0,0.044377218621472515
recent_last600_best_3,33.34000015258789,34.689998626708984,0.030532363802194595,0.004220449986557166,0.02631191381563743,0.0006610759126379148,1.0,0.02631191381563743
best_finish_percentile_at_stronger_class,0.75,0.5555555820465088,0.006421511992812157,-0.016297100422283013,0.02271861241509517,0.0029858694722048025,1.0,0.02271861241509517
jockey_trainer_history_smoothed_top3_rate_gap_to_best,,0.0,-0.007743599358946085,0.01237893911699454,-0.020122538475940626,0.000664837556771811,1.0,0.020122538475940626
jockey_recent_top3_excess,-0.11551053076982498,0.28814688324928284,-0.007619126078983148,0.011967775722344717,-0.019586901801327865,0.003151581779807142,1.0,0.019586901801327865
recent_finish_percentile_weighted_6_rank_in_race,1.0,5.0,0.014187290022770563,-0.00409530196338892,0.018282591986159485,0.002384290341291921,1.0,0.018282591986159485
current_weight_change_pct,0.11818181723356247,-0.008403361774981022,0.01597683969885111,-0.0003044994470352928,0.016281339145886402,0.0047706994495021835,1.0,0.016281339145886402
form_class_level_weighted_3,62.0,59.33333206176758,0.016315688689549763,0.00014124969796588024,0.016174438991583884,0.003786678314328885,1.0,0.016174438991583884
recent_finish_percentile_weighted_3_minus_race_mean,0.19312188029289246,0.05233907699584961,0.015077199166019758,0.0016724300803616643,0.013404769085658094,0.004974521184109865,1.0,0.013404769085658094
recent_finish_percentile_rank,3.0,5.0,0.004298636534561713,-0.008205332793295383,0.012503969327857098,0.0027035526163360774,1.0,0.012503969327857098
recent_weighted_avg_margin_rank,1.0,11.0,0.0033397631098826728,-0.007167960982769728,0.010507724092652401,0.0031281546507354913,1.0,0.010507724092652401
jockey_history_starts,97.0,238.0,-0.0004402421376047035,0.007834886200726032,-0.008275128338330736,0.002224892619696908,1.0,0.008275128338330736
best_finish_percentile_at_equal_or_higher_weight,,1.0,0.006722253126402696,-0.0015490572259295732,0.00827131035233227,0.0025697354246701476,1.0,0.00827131035233227
recent_5_weight_kg,,52.0,0.0011060401933112491,-0.005285831439929704,0.006391871633240953,0.002568293932275574,1.0,0.006391871633240953
prize_money_rank,19.0,7.0,-0.015479827920595804,-0.009114405450721582,-0.006365422469874223,0.0015954121186373623,1.0,0.006365422469874223
recent_similar_distance_speed_rank,13.0,14.0,-0.020607950786749523,-0.014426782727241516,-0.006181168059508006,0.0026241323568588094,1.0,0.006181168059508006
hidden_sectional_run_best_3_gap_to_best,0.09122207760810852,0.1514766812324524,-0.004524130762244265,0.0011412614160993446,-0.005665392178343609,0.000977523229913214,1.0,0.005665392178343609
recent_weighted_avg_margin,2.045253,4.347928,0.01351791899651289,0.01030086042980353,0.0032170585667093596,0.0019635620501825936,1.0,0.0032170585667093596
horse_jockey_win_rate_rank,,4.0,0.00039965622515107196,-0.0027246877628689012,0.003124343988019973,0.001628121971986057,1.0,0.003124343988019973
distance_minus_recent_avg,-100.0,-17.66666603088379,-0.0008244703543217232,0.0021561865772431097,-0.0029806569315648326,0.0014646702217751863,1.0,0.0029806569315648326
recent_3_distance_m,1100.0,1000.0,0.0035631211940199137,0.0010708696208894253,0.0024922515731304884,0.0022473089217959616,0.6666666666666666,0.0024922515731304884
historical_market_overperformance_slope_3,-0.041129034012556076,0.035193972289562225,0.002141592868914207,-8.865242125466466e-05,0.0022302452901688716,0.001510068801047133,1.0,0.0022302452901688716
recent_margin_std_6,2.381176233291626,2.426314115524292,-0.0012731120756749685,0.0005814570273893575,-0.0018545691030643259,0.001065891554272705,1.0,0.0018545691030643259
hidden_sectional_run_best_3,0.27574658393859863,0.21549198031425476,-0.0013887703535147011,-0.0004860782064497471,-0.000902692147064954,0.0005474825365548524,1.0,0.000902692147064954
good_wins,1.0,2.0,0.0013574831342945497,0.0004625834699254483,0.0008948996643691013,0.0007964512829765294,0.6666666666666666,0.0008948996643691013
recent_weighted_win_rate_rank,10.0,4.0,-0.003424260998144746,-0.0029804800481845937,-0.0004437809499601523,0.0009451515577907881,0.6666666666666666,0.0004437809499601523
recent_3_margin,0.1,7.6,-0.0009208642295561731,-0.0006445377730415203,-0.0002763264565146528,0.0018980776491144104,0.3333333333333333,0.0002763264565146528
