member,Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover,Category
1,0,0,0-0,recent_margin_quality_weighted_3_minus_race_mean,-0.0360839367,0-1,0-2,0-1,528.48645,10426.0605,
1,0,1,0-1,recent_finish_percentile_weighted_3_minus_race_mean,-0.152831584,0-3,0-4,0-4,75.8886719,3605.88062,
1,0,2,0-2,recent_finish_percentile_weighted_6_rank_in_race,4.0,0-5,0-6,0-6,124.271576,6820.18018,
1,0,3,0-3,jockey_history_top3_excess,0.00929614715,0-7,0-8,0-7,33.264801,1617.88782,
1,0,4,0-4,jockey_history_top3_excess,-0.0268671643,0-9,0-10,0-10,20.2981987,1987.9928,
1,0,5,0-5,recent_margin_quality_weighted_3_minus_race_mean,0.219716489,0-11,0-12,0-12,38.716095,4029.90552,
1,0,6,0-6,jockey_history_top3_excess,-0.0431180336,0-13,0-14,0-13,30.6133366,2790.27466,
1,0,7,0-7,recent_weighted_avg_margin,5.47080612,0-15,0-16,0-16,8.0135498,940.345276,
1,0,8,0-8,recent_weighted_avg_margin,8.09008503,0-17,0-18,0-18,7.26277542,677.54248,
1,0,9,0-9,recent_margin_quality_weighted_3_minus_race_mean,-0.101810873,0-19,0-20,0-19,9.13850403,645.235413,
1,0,10,0-10,recent_weighted_avg_margin,7.37324715,0-21,0-22,0-21,13.3039989,1342.75745,
1,0,11,0-11,jockey_history_top3_excess,-0.0307440832,0-23,0-24,0-24,25.4024048,2280.65234,
1,0,12,0-12,recent_last600_best_3,35.3400002,0-25,0-26,0-26,11.4553528,1749.25305,
1,0,13,0-13,recent_weighted_avg_margin,4.26149988,0-27,0-28,0-28,5.896101,573.852905,
1,0,14,0-14,jockey_trainer_history_smoothed_top3_rate_gap_to_best,0.145454556,0-29,0-30,0-30,13.8524866,2216.42188,
1,0,15,0-15,Leaf,,,,,-0.0110594044,342.564423,
1,0,16,0-16,Leaf,,,,,-0.0168094598,597.780884,
1,0,17,0-17,Leaf,,,,,-0.00585603295,540.104797,
1,0,18,0-18,Leaf,,,,,-0.0125221657,137.437698,
1,0,19,0-19,Leaf,,,,,-0.0108460477,348.202515,
1,0,20,0-20,Leaf,,,,,-0.00459690066,297.032867,
1,0,21,0-21,Leaf,,,,,-0.00170364999,1178.8916,
1,0,22,0-22,Leaf,,,,,-0.00915392209,163.865814,
1,0,23,0-23,Leaf,,,,,-0.000216868633,515.133179,
1,0,24,0-24,Leaf,,,,,0.00607316568,1765.51929,
1,0,25,0-25,Leaf,,,,,0.0114172567,1015.8609,
1,0,26,0-26,Leaf,,,,,0.00705459435,733.392212,
1,0,27,0-27,Leaf,,,,,-0.00318739563,386.608917,
1,0,28,0-28,Leaf,,,,,-0.00870137569,187.243988,
1,0,29,0-29,Leaf,,,,,0.00317337853,1170.78003,
1,0,30,0-30,Leaf,,,,,-0.000768100552,1045.64172,
1,1,0,1-0,recent_finish_percentile_weighted_3_minus_race_mean,-0.155434132,1-1,1-2,1-2,561.419983,46108.543,
1,1,1,1-1,recent_weighted_avg_margin,8.55326462,1-3,1-4,1-4,79.9577332,5509.42676,
1,1,2,1-2,recent_weighted_avg_margin,5.22812605,1-5,1-6,1-6,186.628586,40599.1172,
1,1,3,1-3,jockey_trainer_history_smoothed_top3_rate_gap_to_best,0.098484844,1-7,1-8,1-8,50.0935822,4386.8291,
1,1,4,1-4,recent_margin_quality_weighted_3_minus_race_mean,-0.125520617,1-9,1-10,1-10,16.1288452,1122.59778,
1,1,5,1-5,recent_similar_distance_speed_rank,7.0,1-11,1-12,1-12,102.464279,34578.8008,
1,1,6,1-6,recent_finish_percentile_weighted_3_minus_race_mean,-0.0105705261,1-13,1-14,1-14,53.0791245,6020.31787,
1,1,7,1-7,jockey_history_starts,93.0,1-15,1-16,1-16,26.8618202,1316.92908,
1,1,8,1-8,best_finish_percentile_at_equal_or_higher_weight,0.857142866,1-17,1-18,1-18,30.2651672,3069.90015,
1,1,9,1-9,jockey_trainer_history_smoothed_top3_rate_gap_to_best,0.0025062561,1-19,1-20,1-20,18.2566528,1019.47339,
1,1,10,1-10,best_finish_percentile_at_equal_or_higher_weight,0.444444448,1-21,1-22,1-21,5.05302715,103.124352,
