race_id,start_time_iso,competition_id,race_number,race_name,runner_number,runner_name,fluc2,top3_mask,finish_place,distance_m,active_field_size,draw_number,weight_kg,career_starts,career_wins,career_seconds,career_thirds,trackFamiliarity,distanceFamiliarity,weight_change_from_last_run,weight_change_vs_recent_avg,weight_change_vs_recent_weighted_avg,large_weight_drop_flag,last3_win_percentage,last3_place_percentage,win_percentage,place_percentage,distance_starts,distance_wins,track_starts,track_wins,horse_jockey_starts,horse_jockey_wins,recent_1_starting_price,recent_2_starting_price,recent_3_starting_price,recent_avg_place,recent_best_place,recent_same_distance_runs,recent_same_track_runs,recent_same_condition_runs,recent_days_since_last_run,open_price,fluc1,dry_rating_rank,recent_weighted_avg_margin_rank,recent_finish_percentile_rank,trackExpert,age,probability,anchor_logit,residual_logit,model_rank,market_rank
10150557,2026-02-14T02:15:00+00:00,520,1,R1 Prosperity Salary Packaging Mdn Hcp,1,Gripfast,41.0,0,6.0,900,6,5,58.0,0,0,0,0,,,,,,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,,,5.5,4.0,2,0,2,17.0,61.0,35.0,4,5.0,,,2,0.1429562,-1.7909508,0.0,5,5
10150557,2026-02-14T02:15:00+00:00,520,1,R1 Prosperity Salary Packaging Mdn Hcp,2,Jourama,4.0,1,2.0,900,6,2,58.0,0,0,0,0,,,,,,0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,,,,3.5,1.0,0,0,2,18.0,3.6,3.8,3,2.0,,,2,0.46137685,-0.15480101,0.0,2,2
10150557,2026-02-14T02:15:00+00:00,520,1,R1 Prosperity Salary Packaging Mdn Hcp,5,Doubella,4.2,1,3.0,900,6,6,56.0,1,0,0,0,,50.0,,0.0,0.0,0,0.0,33.33333333333333,0.0,0.0,0,0,0,0,0,0,,,7.0,4.25,1.0,2,0,3,8.0,2.25,4.0,2,3.0,2.0,,2,0.33177137,-0.70018435,0.0,3,3
10150557,2026-02-14T02:15:00+00:00,520,1,R1 Prosperity Salary Packaging Mdn Hcp,6,Machrihanish,4.4,0,5.0,900,6,3,56.0,1,0,0,0,,66.67,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,71.0,,,6.0,4.0,2,0,2,14.0,3.1,4.2,1,4.0,1.0,,2,0.22346836,-1.2455676,0.0,4,4
10150557,2026-02-14T02:15:00+00:00,520,1,R1 Prosperity Salary Packaging Mdn Hcp,7,She's Extra,2.45,1,1.0,900,6,1,56.0,0,0,0,0,,,,,,0,100.0,100.0,0.0,0.0,0,0,0,0,0,0,,,,1.0,1.0,1,0,1,15.0,6.0,2.5,4,1.0,,,2,0.5964228,0.39058214,0.0,1,1
10150557,2026-02-14T02:15:00+00:00,520,1,R1 Prosperity Salary Packaging Mdn Hcp,8,Leuca,51.0,0,4.0,900,6,4,55.0,1,0,0,0,,,-1.0,-1.0,-1.0,0,0.0,50.0,0.0,0.0,1,0,0,0,0,0,41.0,,,4.5,3.0,2,0,2,16.0,126.0,46.0,6,6.0,3.0,,2,0.08815817,-2.336334,0.0,6,6
10150558,2026-02-14T02:50:00+00:00,520,2,R2 Hmri Mdn Plate,1,Almanzas,5.5,0,10.0,1890,12,14,57.5,5,0,0,0,,,0.5,1.166667,1.20762,0,0.0,0.0,0.0,0.0,1,0,2,0,0,0,5.5,8.5,5.0,5.333333333333333,3.0,1,1,5,15.0,3.8,5.0,1,2.0,2.0,,3,0.44295654,-0.22917157,0.0,3,3
10150558,2026-02-14T02:50:00+00:00,520,2,R2 Hmri Mdn Plate,2,Awesome Artist,27.0,0,7.0,1890,12,10,57.5,1,0,0,0,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,41.0,,,5.666666666666667,3.0,0,0,3,19.0,23.0,31.0,11,10.0,11.0,,3,0.2067336,-1.344728,0.0,8,8
10150558,2026-02-14T02:50:00+00:00,520,2,R2 Hmri Mdn Plate,3,Bold David,61.0,0,4.0,1890,12,1,57.5,1,0,0,0,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,15.0,,,6.5,4.0,0,1,4,21.0,71.0,51.0,9,7.0,8.0,,3,0.15231217,-1.7165802,0.0,9,9
10150558,2026-02-14T02:50:00+00:00,520,2,R2 Hmri Mdn Plate,4,Eureka Rebel,4.8,1,2.0,1890,12,3,57.5,3,0,0,2,,,0.0,0.0,0.0,0,0.0,66.66666666666666,0.0,66.67,0,0,0,0,0,0,16.0,9.5,31.0,5.0,3.0,0,0,4,23.0,7.0,5.0,3,1.0,1.0,,3,0.5356098,0.1426807,0.0,2,2
10150558,2026-02-14T02:50:00+00:00,520,2,R2 Hmri Mdn Plate,5,Explicit,5.5,0,12.0,1890,12,5,57.5,7,0,1,2,,,-1.0,-0.5,-0.538884,0,0.0,66.66666666666666,0.0,42.86,0,0,1,0,0,0,12.0,11.0,,5.5,2.0,0,1,5,15.0,3.6,5.0,2,9.0,10.0,100.0,3,0.44295654,-0.22917157,0.0,4,4
10150558,2026-02-14T02:50:00+00:00,520,2,R2 Hmri Mdn Plate,6,Free And Fast,4.0,1,1.0,1890,12,11,57.5,3,0,0,0,,,1.0,0.5,0.52913,0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,4.4,26.0,4.2,5.6,2.0,1,1,5,21.0,4.4,4.2,5,5.0,6.0,,3,0.5964228,0.39058214,0.0,1,1
10150558,2026-02-14T02:50:00+00:00,520,2,R2 Hmri Mdn Plate,7,Ribble Lace,81.0,0,8.0,1890,12,4,57.5,2,0,0,0,,,0.0,0.5,0.253841,0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,31.0,,,6.833333333333333,5.0,0,1,4,21.0,41.0,71.0,7,8.0,7.0,,3,0.110226214,-2.0884326,0.0,11,11
10150558,2026-02-14T02:50:00+00:00,520,2,R2 Hmri Mdn Plate,8,My Cartouche,8.0,0,5.0,1890,12,8,57.0,15,0,0,2,,83.33,1.5,0.3,0.409275,0,0.0,33.33333333333333,0.0,13.33,4,0,1,0,2,0,81.0,,61.0,5.833333333333333,3.0,5,1,2,21.0,23.0,8.5,3,6.0,5.0,,4,0.35410953,-0.60102373,0.0,5,5
10150558,2026-02-14T02:50:00+00:00,520,2,R2 Hmri Mdn Plate,9,Canjustify,13.0,1,3.0,1890,12,6,55.5,2,0,0,0,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,20.0,26.0,,6.5,5.0,0,0,3,18.0,16.0,12.0,5,4.0,4.0,,3,0.25033495,-1.0968267,0.0,7,7
10150558,2026-02-14T02:50:00+00:00,520,2,R2 Hmri Mdn Plate,10,Golden Castel,151.0,0,11.0,1890,12,7,55.5,2,0,0,0,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,201.0,61.0,,8.333333333333334,7.0,0,0,5,18.0,81.0,201.0,12,11.0,12.0,,3,0.08815817,-2.336334,0.0,12,12
10150558,2026-02-14T02:50:00+00:00,520,2,R2 Hmri Mdn Plate,11,Introspective,61.0,0,6.0,1890,12,13,55.5,2,0,0,0,,,-0.5,-0.75,-0.734616,0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,21.0,101.0,,7.5,5.0,0,1,3,14.0,41.0,51.0,9,12.0,9.0,,3,0.15231217,-1.7165802,0.0,10,10
10150558,2026-02-14T02:50:00+00:00,520,2,R2 Hmri Mdn Plate,12,Shadow Of Light,8.5,0,9.0,1890,12,2,55.5,4,0,0,1,,,0.0,0.375,0.291061,0,0.0,0.0,0.0,25.0,0,0,0,0,1,0,9.0,12.0,,5.0,3.0,0,0,4,18.0,21.0,9.0,8,3.0,3.0,,3,0.29965836,-0.84892523,0.0,6,6
10150562,2026-02-14T03:25:00+00:00,520,3,R3 Mai-Wel Super Mdn Hcp,2,The Confidante,10.0,0,9.0,1600,9,3,59.0,3,0,1,1,,,1.5,1.5,1.5,0,0.0,66.66666666666666,0.0,66.67,1,0,1,0,1,0,21.0,17.0,26.0,4.833333333333333,2.0,1,1,4,42.0,8.0,9.5,5,3.0,5.0,100.0,3,0.27430764,-0.9728759,0.0,5,5
10150562,2026-02-14T03:25:00+00:00,520,3,R3 Mai-Wel Super Mdn Hcp,3,Velaris,8.0,1,1.0,1600,9,9,59.0,2,0,0,0,,,1.0,0.5,0.52693,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,20.0,11.0,,5.0,1.0,0,0,2,10.0,5.0,7.5,1,5.0,6.0,,4,0.3470546,-0.6320114,0.0,4,4
10150562,2026-02-14T03:25:00+00:00,520,3,R3 Mai-Wel Super Mdn Hcp,4,Adaptation,2.3,1,3.0,1600,9,2,58.0,2,0,0,1,,,0.5,0.5,0.5,0,0.0,33.33333333333333,0.0,50.0,0,0,1,0,0,0,4.0,13.0,,5.333333333333333,3.0,1,1,4,21.0,4.2,2.25,2,6.0,2.0,100.0,3,0.5964228,0.39058214,0.0,1,1
10150562,2026-02-14T03:25:00+00:00,520,3,R3 Mai-Wel Super Mdn Hcp,5,Garrix,15.0,1,2.0,1600,9,8,57.5,7,0,0,1,,,1.0,0.375,0.462324,0,0.0,33.33333333333333,0.0,14.29,2,0,1,0,1,0,10.0,8.0,41.0,7.333333333333333,3.0,2,1,6,21.0,18.0,14.0,4,4.0,8.0,,3,0.21186161,-1.3137404,0.0,6,6
10150562,2026-02-14T03:25:00+00:00,520,3,R3 Mai-Wel Super Mdn Hcp,6,Sun To Me,5.5,0,5.0,1600,9,4,57.5,5,0,1,2,,,2.0,1.3,1.296007,0,0.0,100.0,0.0,60.0,0,0,1,0,0,0,2.4,31.0,61.0,4.5,2.0,1,1,6,14.0,7.0,5.0,5,1.0,4.0,100.0,3,0.4277231,-0.29114687,0.0,3,3
10150562,2026-02-14T03:25:00+00:00,520,3,R3 Mai-Wel Super Mdn Hcp,7,Typhoon Bassett,41.0,0,8.0,1600,9,10,57.5,1,0,0,0,,,-1.0,-1.0,-1.0,0,0.0,33.33333333333333,0.0,0.0,0,0,0,0,1,0,12.0,,,5.25,2.0,0,0,3,16.0,31.0,46.0,8,9.0,7.0,,3,0.11967944,-1.9954693,0.0,8,8
10150562,2026-02-14T03:25:00+00:00,520,3,R3 Mai-Wel Super Mdn Hcp,8,Almonzo,5.0,0,4.0,1600,9,1,57.0,3,0,0,1,,,-2.0,-0.333333,-1.023504,0,0.0,0.0,0.0,33.33,0,0,1,0,1,0,2.5,,,4.333333333333333,3.0,1,1,3,16.0,7.0,5.5,7,7.0,3.0,100.0,3,0.51242685,0.049717605,0.0,2,2
10150562,2026-02-14T03:25:00+00:00,520,3,R3 Mai-Wel Super Mdn Hcp,10,Edorado,71.0,0,7.0,1600,9,5,56.0,4,0,0,0,,,-3.0,-1.875,-2.41718,1,0.0,0.0,0.0,0.0,0,0,0,0,3,0,21.0,,101.0,5.166666666666667,3.0,0,0,3,13.0,91.0,81.0,9,8.0,9.0,,4,0.08815817,-2.336334,0.0,9,9
10150562,2026-02-14T03:25:00+00:00,520,3,R3 Mai-Wel Super Mdn Hcp,11,Meritage,20.0,0,6.0,1600,9,7,55.0,5,0,1,0,,,-2.0,-1.75,-1.943247,0,0.0,33.33333333333333,0.0,20.0,1,0,0,0,0,0,6.0,11.0,5.0,5.0,2.0,2,0,4,17.0,16.0,19.0,3,2.0,1.0,,4,0.16048755,-1.6546049,0.0,7,7
10150561,2026-02-14T04:00:00+00:00,520,4,R4 Manning Valley Free Range Eggs Midway Mdn Hcp,1,My Country Boy,26.0,0,6.0,1200,8,6,59.0,0,0,0,0,,,,,,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,,,6.0,6.0,0,0,0,22.0,6.0,27.0,6,1.0,,,3,0.17404662,-1.5572151,0.0,6,6
10150561,2026-02-14T04:00:00+00:00,520,4,R4 Manning Valley Free Range Eggs Midway Mdn Hcp,2,Peace At Last,1.95,0,4.0,1200,8,4,57.5,1,0,0,1,,,2.0,2.0,2.0,0,0.0,33.33333333333333,0.0,100.0,0,0,0,0,0,0,21.0,,,5.0,3.0,1,0,1,22.0,2.5,1.9,2,8.0,2.0,,3,0.5964228,0.39058214,0.0,1,1
10150561,2026-02-14T04:00:00+00:00,520,4,R4 Manning Valley Free Range Eggs Midway Mdn Hcp,3,Irulan,67.0,0,5.0,1200,8,1,57.0,0,0,0,0,,,,,,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,,,5.5,4.0,0,0,0,11.0,18.0,71.0,6,5.0,,,3,0.08815817,-2.336334,0.0,8,8
10150561,2026-02-14T04:00:00+00:00,520,4,R4 Manning Valley Free Range Eggs Midway Mdn Hcp,4,Better Bloom,8.0,1,3.0,1200,8,2,56.5,1,0,0,0,,,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,31.0,,,6.4,4.0,1,0,1,18.0,9.5,8.5,5,3.0,1.0,,3,0.31473035,-0.7780962,0.0,4,4
10150561,2026-02-14T04:00:00+00:00,520,4,R4 Manning Valley Free Range Eggs Midway Mdn Hcp,5,The Magic Man,4.6,1,1.0,1200,8,10,56.5,11,0,3,0,33.33,50.0,-1.0,0.125,-0.286451,0,33.33333333333333,33.33333333333333,0.0,27.27,3,0,3,0,1,0,13.0,,,5.0,1.0,3,2,4,20.0,8.0,4.5,3,6.0,6.0,,3,0.4040696,-0.38853675,0.0,3,3
10150561,2026-02-14T04:00:00+00:00,520,4,R4 Manning Valley Free Range Eggs Midway Mdn Hcp,6,Arctic Bright,4.2,0,,1200,8,8,55.5,2,0,0,0,,,,1.5,1.384987,0,0.0,33.33333333333333,0.0,0.0,0,0,0,0,1,0,,,,5.0,3.0,2,0,4,18.0,4.2,4.0,1,2.0,4.0,,3,0.5002557,0.0010227561,0.0,2,2
10150561,2026-02-14T04:00:00+00:00,520,4,R4 Manning Valley Free Range Eggs Midway Mdn Hcp,7,Miss Steffi,17.0,0,7.0,1200,8,3,55.5,3,0,0,0,,,-0.5,0.0,-0.264021,0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,4.0,,4.4,4.666666666666667,1.0,2,0,1,14.0,14.0,18.0,4,4.0,3.0,,3,0.237279,-1.1676557,0.0,5,5
10150561,2026-02-14T04:00:00+00:00,520,4,R4 Manning Valley Free Range Eggs Midway Mdn Hcp,9,Unjust,34.0,1,2.0,1200,8,5,55.5,10,0,0,2,,,2.5,-0.333333,-0.059617,0,0.0,33.33333333333333,0.0,20.0,1,0,3,0,2,0,101.0,31.0,201.0,7.333333333333333,3.0,2,1,3,30.0,67.0,31.0,8,7.0,5.0,,6,0.1249055,-1.9467745,0.0,7,7
10146974,2026-02-14T04:28:00+00:00,317,1,R1 Bet365 Mdn Plate,1,Graysville,8.0,0,6.0,1300,8,6,59.0,12,0,2,0,,50.0,3.5,1.916667,2.189255,0,0.0,33.33333333333333,0.0,16.67,3,0,8,0,1,0,21.0,5.0,15.0,6.5,2.0,3,0,6,14.0,7.5,8.5,4,5.0,3.0,,4,0.4040696,-0.38853675,0.0,3,3
10146974,2026-02-14T04:28:00+00:00,317,1,R1 Bet365 Mdn Plate,2,No Brakes,15.0,0,4.0,1300,8,1,59.0,16,0,1,1,,50.0,0.0,1.333333,1.092237,0,0.0,0.0,0.0,12.5,3,0,10,0,0,0,16.0,11.0,71.0,5.833333333333333,5.0,3,0,6,28.0,31.0,14.0,6,4.0,6.0,,5,0.237279,-1.1676557,0.0,5,5
10146974,2026-02-14T04:28:00+00:00,317,1,R1 Bet365 Mdn Plate,3,Patyep,8.5,1,1.0,1300,8,5,59.0,15,0,0,4,,50.0,0.0,0.0,0.0,0,0.0,0.0,0.0,26.67,2,0,10,0,6,0,17.0,6.5,7.5,4.833333333333333,3.0,3,0,6,14.0,12.0,9.0,3,3.0,4.0,,4,0.31473035,-0.7780962,0.0,4,4
10146974,2026-02-14T04:28:00+00:00,317,1,R1 Bet365 Mdn Plate,4,Kal It Magic,34.0,0,5.0,1300,8,2,57.5,2,0,0,0,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,2,0,1,0,26.0,14.0,,5.5,5.0,0,0,2,14.0,46.0,31.0,7,6.0,5.0,,3,0.1249055,-1.9467745,0.0,7,7
10146974,2026-02-14T04:28:00+00:00,317,1,R1 Bet365 Mdn Plate,5,Pleasing Smile,1.95,1,3.0,1300,8,7,57.5,6,0,3,0,,50.0,3.5,1.333333,2.096909,0,0.0,33.33333333333333,0.0,50.0,1,0,2,0,0,0,12.0,7.5,4.4,3.5,2.0,3,0,4,14.0,1.75,1.9,1,1.0,1.0,,3,0.5964228,0.39058214,0.0,1,1
10146974,2026-02-14T04:28:00+00:00,317,1,R1 Bet365 Mdn Plate,6,Tee Galleria,2.9,1,2.0,1300,8,3,57.5,5,0,2,1,,,0.0,0.1,0.133005,0,0.0,66.66666666666666,0.0,60.0,1,0,4,0,2,0,12.0,3.8,4.4,4.5,2.0,2,0,4,14.0,2.7,3.0,2,2.0,2.0,75.0,3,0.5002557,0.0010227561,0.0,2,2
10146974,2026-02-14T04:28:00+00:00,317,1,R1 Bet365 Mdn Plate,7,Aqua Blue,101.0,0,7.0,1300,8,4,55.5,2,0,0,0,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,151.0,26.0,,7.0,5.0,0,0,4,14.0,126.0,91.0,8,7.0,7.0,,3,0.08815817,-2.336334,0.0,8,8
10146974,2026-02-14T04:28:00+00:00,317,1,R1 Bet365 Mdn Plate,8,Lady Fireball,31.0,0,8.0,1300,8,8,55.5,0,0,0,0,,,,,,0,,,0.0,0.0,0,0,0,0,0,0,,,,,,0,0,0,,18.0,27.0,5,,,,3,0.17404662,-1.5572151,0.0,6,6
10150559,2026-02-14T04:35:00+00:00,520,5,R5 Bonvilla Estate (Bm64),1,Don't Doubt Merlin,8.5,1,2.0,900,10,5,60.5,11,3,0,2,,,,0.75,0.434453,0,0.0,0.0,27.27,45.45,2,2,0,0,0,0,,,5.5,6.333333333333333,3.0,0,0,3,18.0,10.0,8.0,4,5.0,6.0,,5,0.24520135,-1.1243713,0.0,6,6
10150559,2026-02-14T04:35:00+00:00,520,5,R5 Bonvilla Estate (Bm64),2,One Destiny,6.0,1,1.0,900,10,11,60.5,59,9,4,8,,50.0,3.0,3.166667,2.933956,0,0.0,0.0,15.25,35.59,0,0,0,0,0,0,151.0,101.0,21.0,8.5,7.0,3,0,3,73.0,15.0,5.5,9,10.0,9.0,,6,0.3732288,-0.51838994,0.0,4,4
10150559,2026-02-14T04:35:00+00:00,520,5,R5 Bonvilla Estate (Bm64),4,Insist,8.0,0,9.0,900,10,1,60.0,10,2,1,2,,50.0,1.5,2.0,1.663754,0,0.0,33.33333333333333,20.0,50.0,2,1,2,1,0,0,6.0,,6.0,3.1666666666666665,1.0,3,1,4,23.0,10.0,8.5,1,3.0,10.0,,4,0.30547068,-0.82138056,0.0,5,5
10150559,2026-02-14T04:35:00+00:00,520,5,R5 Bonvilla Estate (Bm64),7,October Star,5.5,0,7.0,900,10,8,58.0,1,1,0,0,,,0.5,0.5,0.5,0,33.33333333333333,66.66666666666666,100.0,100.0,1,1,1,1,1,1,3.6,,,3.0,1.0,1,1,1,21.0,3.1,6.0,8,4.0,1.0,100.0,3,0.48402944,-0.06390393,0.0,2,2
10150559,2026-02-14T04:35:00+00:00,520,5,R5 Bonvilla Estate (Bm64),8,Movin' Denman,51.0,0,10.0,900,10,12,57.0,39,6,8,4,33.33,100.0,2.0,-0.583333,0.080643,0,33.33333333333333,66.66666666666666,15.38,46.15,3,1,5,2,5,1,26.0,15.0,2.5,2.5,1.0,6,2,5,331.0,51.0,61.0,6,2.0,2.0,60.0,7,0.10112028,-2.1848385,0.0,9,9
10150559,2026-02-14T04:35:00+00:00,520,5,R5 Bonvilla Estate (Bm64),9,Quein Step,2.7,0,4.0,900,10,4,55.5,6,1,2,1,,83.33,,-1.0,-0.111361,0,0.0,66.66666666666666,16.67,66.67,1,0,1,0,0,0,,,3.6,3.0,1.0,5,1,3,17.0,3.8,2.8,3,1.0,3.0,,4,0.5964228,0.39058214,0.0,1,1
10150559,2026-02-14T04:35:00+00:00,520,5,R5 Bonvilla Estate (Bm64),10,Savoca,51.0,0,8.0,900,10,7,55.5,25,4,3,2,,,-2.5,-1.666667,-1.759302,0,0.0,33.33333333333333,16.0,36.0,4,1,3,0,1,0,4.2,7.5,26.0,4.333333333333333,1.0,0,0,4,22.0,23.0,61.0,5,7.0,5.0,,5,0.10112028,-2.1848385,0.0,10,10
10150559,2026-02-14T04:35:00+00:00,520,5,R5 Bonvilla Estate (Bm64),11,Kev's Girl,5.5,1,3.0,900,10,2,55.0,38,6,5,3,33.33,100.0,-5.0,-1.416667,-1.885608,1,33.33333333333333,33.33333333333333,15.79,36.84,9,0,6,0,1,1,4.4,13.0,31.0,4.333333333333333,1.0,6,2,4,27.0,14.0,6.0,2,8.0,4.0,,8,0.48402944,-0.06390393,0.0,3,3
10150559,2026-02-14T04:35:00+00:00,520,5,R5 Bonvilla Estate (Bm64),12,Mr Trackside,41.0,0,6.0,900,10,6,55.0,29,2,1,3,,66.67,-6.5,-1.3,-2.016009,1,0.0,0.0,6.9,20.69,9,2,7,1,0,0,9.5,,41.0,6.166666666666667,4.0,4,1,4,16.0,41.0,46.0,10,6.0,7.0,,5,0.15054248,-1.7303526,0.0,8,8
10150559,2026-02-14T04:35:00+00:00,520,5,R5 Bonvilla Estate (Bm64),13,Zakor,27.0,0,5.0,900,10,10,55.0,37,4,5,5,,83.33,2.0,-0.75,0.302612,0,0.0,0.0,10.81,37.84,7,1,3,0,0,0,17.0,12.0,81.0,6.833333333333333,4.0,5,1,3,14.0,41.0,31.0,7,9.0,8.0,,7,0.19351006,-1.427362,0.0,7,7
