race_id,start_time_iso,is_validation,runner_number,distance_m,active_field_size,draw_number,weight_kg,win_percentage,place_percentage,career_starts,career_wins,career_seconds,career_thirds,freshWinner,secondUpWinner,winningPartnership,hotStreak,recentPodium,trackFamiliarity,distanceFamiliarity,recent_weighted_avg_place,recent_weighted_avg_margin,recent_weighted_win_rate,recent_weighted_top3_rate,recent_avg_weight_kg,weight_change_from_last_run,weight_change_vs_recent_avg,weight_change_vs_recent_weighted_avg,large_weight_drop_flag,weight_drop_after_close_run_flag,last3_win_percentage,last3_place_percentage,win_percentage_rank,place_percentage_rank,last3_win_percentage_rank,last3_place_percentage_rank,open_price,fluc1,fluc2,top3_mask,market_fluc2_baseline
10146908,2026-02-14T01:05:00+00:00,0,1,1100,7,6,57.0,0.0,100.0,1,0,1,0,,,,,66.67,,66.67,2.263583,1.641195,0.320097,0.70816,58.0,-1.0,-1.0,-1.0,0,0,33.33333333333333,66.66666666666666,1,1,2,4,2.3,2.3,2.25,1,2.25
10146908,2026-02-14T01:05:00+00:00,0,2,1100,7,7,57.0,0.0,100.0,1,0,1,0,,,,,,,,2.0,1.0,0.0,1.0,58.0,-1.0,-1.0,-1.0,0,0,0.0,100.0,1,1,3,1,26.0,16.0,17.0,0,17.0
10146908,2026-02-14T01:05:00+00:00,0,3,1100,7,5,57.0,0.0,0.0,1,0,0,0,,,,,,,,5.0,5.9,0.0,0.0,58.0,-1.0,-1.0,-1.0,0,0,0.0,0.0,1,3,3,5,7.0,13.0,12.0,1,12.0
10146908,2026-02-14T01:05:00+00:00,0,4,1100,7,4,57.0,0.0,0.0,0,0,0,0,,,,,,,,,,,,,,,,0,0,,,1,3,,,4.6,3.1,3.0,1,3.0
10146908,2026-02-14T01:05:00+00:00,0,5,1100,7,3,57.0,0.0,0.0,0,0,0,0,,,,,,,,,,,,,,,,0,0,,,1,3,,,3.9,5.0,5.5,0,5.5
10146908,2026-02-14T01:05:00+00:00,0,6,1100,7,1,55.0,0.0,0.0,0,0,0,0,,,,,,,,2.0,0.1,0.0,1.0,,,,,0,0,0.0,100.0,1,3,3,1,13.0,13.0,14.0,0,14.0
10146908,2026-02-14T01:05:00+00:00,0,7,1100,7,2,55.0,0.0,0.0,0,0,0,0,,,,,,,,1.0,0.3,1.0,1.0,,,,,0,0,100.0,100.0,1,3,1,1,34.0,26.0,27.0,0,27.0
10147275,2026-02-14T01:28:00+00:00,0,1,1000,7,1,59.0,100.0,100.0,1,1,0,0,,,,100.0,100.0,,,1.0,5.513094,1.0,1.0,59.0,,0.0,0.0,0,0,100.0,100.0,1,1,1,1,2.2,2.3,2.25,0,2.25
10147275,2026-02-14T01:28:00+00:00,0,2,1000,7,7,58.5,0.0,0.0,0,0,0,0,,,,,100.0,,,1.89494,1.607752,0.55253,1.0,,,,,0,0,33.33333333333333,100.0,2,2,4,1,23.0,19.0,20.0,1,20.0
10147275,2026-02-14T01:28:00+00:00,0,3,1000,7,2,57.0,0.0,0.0,1,0,0,0,,,,,,,,3.720845,3.642755,0.455831,0.455831,54.5,2.5,2.5,2.5,0,0,50.0,50.0,2,2,3,7,9.5,6.5,7.0,1,7.0
10147275,2026-02-14T01:28:00+00:00,0,5,1000,7,4,56.5,0.0,0.0,0,0,0,0,,,,,,,,3.0,7.1,0.0,1.0,,,,,0,0,0.0,100.0,2,2,5,1,46.0,71.0,67.0,0,67.0
10147275,2026-02-14T01:28:00+00:00,0,6,1000,7,3,56.5,0.0,0.0,0,0,0,0,,,,,,,,2.0,2.234203,0.0,1.0,,,,,0,0,0.0,100.0,2,2,5,1,18.0,12.0,11.0,0,11.0
10147275,2026-02-14T01:28:00+00:00,0,7,1000,7,6,56.5,0.0,0.0,0,0,0,0,,,,,,,,3.0,0.6,0.0,1.0,,,,,0,0,0.0,100.0,2,2,5,1,15.0,27.0,31.0,0,31.0
10147275,2026-02-14T01:28:00+00:00,0,8,1000,7,9,56.5,0.0,0.0,0,0,0,0,,,,,,,,1.0,4.121758,1.0,1.0,,,,,0,0,100.0,100.0,2,2,1,1,2.7,2.3,2.35,1,2.35
10146909,2026-02-14T01:35:00+00:00,0,1,2000,14,6,61.5,19.05,52.38,21,4,5,2,40.0,20.0,,,80.0,,,2.793433,3.619267,0.0,0.845245,58.0,,3.5,3.488797,0,0,0.0,100.0,7,6,4,1,19.0,26.0,27.0,0,27.0
10146909,2026-02-14T01:35:00+00:00,0,3,2000,14,11,61.0,11.11,41.67,36,4,3,8,,,25.0,,,33.33,,5.945442,5.687036,0.0,0.475815,58.5,3.0,2.5,2.670711,0,0,0.0,66.66666666666666,12,8,4,4,31.0,23.0,21.0,0,21.0
10146909,2026-02-14T01:35:00+00:00,0,4,2000,14,2,60.5,23.81,61.9,21,5,3,5,,50.0,,,,,,6.245442,4.176908,0.069488,0.225543,57.333333,1.5,3.166667,3.053288,0,0,0.0,0.0,4,4,4,13,11.0,13.0,14.0,0,14.0
10146909,2026-02-14T01:35:00+00:00,0,5,2000,14,4,60.0,7.69,34.62,26,2,3,4,,,,,,,,4.083555,2.700311,0.0,0.607768,58.2,3.0,1.8,2.628414,0,0,0.0,66.66666666666666,14,14,4,4,10.0,8.0,8.5,0,8.5
10146909,2026-02-14T01:35:00+00:00,0,6,2000,14,9,59.5,44.44,88.89,9,4,3,1,,,37.5,40.0,100.0,33.33,,1.678307,1.154252,0.499388,0.991159,59.75,-1.5,-0.25,-0.137487,0,0,66.66666666666666,100.0,2,1,2,1,3.2,3.0,3.1,1,3.1
10146909,2026-02-14T01:35:00+00:00,0,8,2000,14,14,58.5,66.67,83.33,6,4,1,0,,,,60.0,60.0,,,2.034215,0.671142,0.683637,0.748326,59.9,-1.5,-1.4,-1.554323,0,0,100.0,100.0,1,2,1,1,7.5,4.5,4.6,0,4.6
10146909,2026-02-14T01:35:00+00:00,0,9,2000,14,8,56.5,18.18,45.45,11,2,2,1,33.33,33.33,66.67,,,,,4.797736,2.892762,0.0,0.302841,58.25,-4.0,-1.75,-2.306452,1,1,0.0,33.33333333333333,8,7,4,9,17.0,21.0,20.0,0,20.0
10146909,2026-02-14T01:35:00+00:00,0,10,2000,14,5,56.5,22.22,38.89,18,4,3,0,,50.0,25.0,,60.0,33.33,,4.431646,2.700128,0.17907,0.528825,54.25,3.5,2.25,2.307111,0,0,33.33333333333333,66.66666666666666,6,10,3,4,8.5,12.0,13.0,1,13.0
10146909,2026-02-14T01:35:00+00:00,0,11,2000,14,3,56.5,15.38,69.23,13,2,6,1,,,,,60.0,,50.0,3.180967,2.151364,0.0,0.671502,56.416667,4.5,0.083333,0.775439,0,0,0.0,66.66666666666666,10,3,4,4,8.5,9.0,8.5,0,8.5
10146909,2026-02-14T01:35:00+00:00,0,12,2000,14,1,56.5,16.67,38.89,36,6,3,5,,,,,,,,4.193126,2.619619,0.0,0.427188,56.75,0.0,-0.25,-0.195866,0,0,0.0,66.66666666666666,9,10,4,4,31.0,46.0,41.0,0,41.0
10146909,2026-02-14T01:35:00+00:00,0,13,2000,14,15,56.0,31.25,56.25,16,5,2,2,25.0,75.0,,,,,,4.910266,3.442504,0.0,0.247451,57.25,0.5,-1.25,-1.150086,0,0,0.0,33.33333333333333,3,5,4,9,14.0,20.0,21.0,0,21.0
