race_id,runners,top1_hit,top3_hit,winner_rank,reciprocal_rank,random_top1_expected,random_top3_expected,start_time_iso,competition_id,competition_name,race_number,race_name
10146772,9,0,1,3.0,0.3333333333333333,0.1111111111111111,0.3333333333333333,2026-02-14T03:40:00+00:00,999,Randwick,5,R5 Wellington Racing Club Trophy (Bm88)
10146905,10,0,0,6.0,0.16666666666666666,0.1,0.3,2026-02-14T03:55:00+00:00,999,Flemington,6,R6 Be Captivated Trophy
10146900,8,0,1,3.0,0.3333333333333333,0.125,0.375,2026-02-14T05:10:00+00:00,999,Flemington,8,R8 Black Caviar Lightning
10150773,8,0,0,4.0,0.25,0.125,0.375,2026-02-14T05:12:00+00:00,999,Dalby,5,R5 Bunty's 80Th Breakaway (Bm58)
10150563,9,0,1,2.0,0.5,0.1111111111111111,0.3333333333333333,2026-02-14T05:15:00+00:00,999,Newcastle,6,R6 Calvary Mater Newcastle Provincial (Bm64)
10146841,13,0,1,2.0,0.5,0.07692307692307693,0.23076923076923078,2026-02-14T05:22:00+00:00,999,Morphettville,7,R7 Canadian Club Hcp (62)
10146773,10,1,1,1.0,1.0,0.1,0.3,2026-02-14T05:30:00+00:00,999,Randwick,8,R8 Petaluma Apollo Stakes
10147269,10,1,1,1.0,1.0,0.1,0.3,2026-02-14T05:42:00+00:00,999,Eagle Farm,8,R8 Drinkwise (Bm85)
10146906,11,0,1,3.0,0.3333333333333333,0.09090909090909091,0.2727272727272727,2026-02-14T05:50:00+00:00,999,Flemington,9,R9 Cs Hayes Stakes
10146840,14,0,0,8.0,0.125,0.07142857142857142,0.21428571428571427,2026-02-14T06:02:00+00:00,999,Morphettville,8,R8 Sportsbet Get On Extra (Bm62)
10146776,10,1,1,1.0,1.0,0.1,0.3,2026-02-14T06:10:00+00:00,999,Randwick,9,R9 Robrick Lodge Triscay Stakes
10147274,9,0,1,2.0,0.5,0.1111111111111111,0.3333333333333333,2026-02-14T06:22:00+00:00,999,Eagle Farm,9,R9 Cricks Highway Hcp
10150556,9,0,0,5.0,0.2,0.1111111111111111,0.3333333333333333,2026-02-14T06:35:00+00:00,999,Newcastle,8,R8 Connectability (Bm68)
10146838,14,0,0,7.0,0.14285714285714285,0.07142857142857142,0.21428571428571427,2026-02-14T06:44:00+00:00,999,Morphettville,9,R9 Sportsbet Blackbook (Bm72)
10146771,10,0,0,7.5,0.13333333333333333,0.1,0.3,2026-02-14T06:50:00+00:00,999,Randwick,10,R10 Macquarie St Social (Bm88)
10147459,12,0,0,4.0,0.25,0.08333333333333333,0.25,2026-02-14T07:39:00+00:00,999,Pinjarra,6,R6 Thoroughbred Breeders Wa Platinum Classic (Bm66+)
10147454,16,0,0,4.5,0.2222222222222222,0.0625,0.1875,2026-02-14T08:53:00+00:00,999,Pinjarra,8,R8 Magic Millions Wa 3Yo Trophy (Rl)
10147453,12,0,0,6.0,0.16666666666666666,0.08333333333333333,0.25,2026-02-14T09:28:00+00:00,999,Pinjarra,9,R9 Tabtouch Punters Club - Pinjarra Classic Sun 22 Feb (Rs1mw)
10168661,14,0,0,11.5,0.08695652173913043,0.07142857142857142,0.21428571428571427,2026-02-20T01:45:00+00:00,999,Ashburton,6,R6 Hygain Stayers Challenge (Bm65)
10168664,8,1,1,1.0,1.0,0.125,0.375,2026-02-20T02:21:00+00:00,999,Ashburton,7,R7 Vernon & Vazey Truck Parts Hcp
10168665,10,0,0,8.0,0.125,0.1,0.3,2026-02-20T03:04:00+00:00,999,Ashburton,8,R8 Agraforum Zumsil Hcp
10168660,13,0,0,7.0,0.14285714285714285,0.07692307692307693,0.23076923076923078,2026-02-20T03:40:00+00:00,999,Ashburton,9,R9 Agraforum Growing Innovation (Bm65)
10172323,11,0,0,11.0,0.09090909090909091,0.09090909090909091,0.2727272727272727,2026-02-20T05:30:00+00:00,999,Terang,7,R7 Ridley Agriproducts (Bm56)
10172355,10,0,1,3.0,0.3333333333333333,0.1,0.3,2026-02-20T05:50:00+00:00,999,Seymour,8,R8 Jaclyn Symes - Member For Northern Victoria (Bm62)
10172220,9,1,1,1.0,1.0,0.1111111111111111,0.3333333333333333,2026-02-20T06:03:00+00:00,999,Canberra,8,R8 Tab Federal - National Sprint Preview
10172327,12,0,1,3.0,0.3333333333333333,0.08333333333333333,0.25,2026-02-20T06:10:00+00:00,999,Terang,8,R8 Logan Contracting (Bm56)
10172359,8,0,0,8.0,0.125,0.125,0.375,2026-02-20T06:30:00+00:00,999,Seymour,9,R9 Go Seymour (Bm66)
10172221,11,0,1,1.5,0.6666666666666666,0.09090909090909091,0.2727272727272727,2026-02-20T06:43:00+00:00,999,Canberra,9,R9 Alan Rummery Bookmaker - Shane Connolly Memorial Hcp (C1)
10172341,12,0,0,5.5,0.18181818181818182,0.08333333333333333,0.25,2026-02-20T07:49:00+00:00,999,Ipswich,8,R8 Ray White Ipswich Hcp (58)
