model,member,importance_type,feature,value
winner_backing,1,gain,recent_wins,2.0846457481384277
winner_backing,1,gain,draw_number,8.466946601867676
winner_backing,1,gain,distance_m,5.646328926086426
winner_backing,1,gain,field_size,9.052632331848145
winner_backing,1,gain,recent_places,4.916006565093994
winner_backing,1,gain,recent_same_track_runs,9.265787124633789
winner_backing,1,gain,recent_finish_percentile_weighted_6,15.795051574707031
winner_backing,1,gain,recent_4_margin,10.311423301696777
winner_backing,1,gain,recent_same_distance_runs,9.690969467163086
winner_backing,1,cover,recent_wins,304.78485107421875
winner_backing,1,cover,draw_number,3950.919677734375
winner_backing,1,cover,distance_m,496.7815856933594
winner_backing,1,cover,field_size,526.9989624023438
winner_backing,1,cover,recent_places,1098.634521484375
winner_backing,1,cover,recent_same_track_runs,830.0797119140625
winner_backing,1,cover,recent_finish_percentile_weighted_6,3081.185302734375
winner_backing,1,cover,recent_4_margin,2723.3125
winner_backing,1,cover,recent_same_distance_runs,2746.620361328125
winner_backing,1,weight,recent_wins,2.0
winner_backing,1,weight,draw_number,8.0
winner_backing,1,weight,distance_m,10.0
winner_backing,1,weight,field_size,3.0
winner_backing,1,weight,recent_places,4.0
winner_backing,1,weight,recent_same_track_runs,2.0
winner_backing,1,weight,recent_finish_percentile_weighted_6,25.0
winner_backing,1,weight,recent_4_margin,12.0
winner_backing,1,weight,recent_same_distance_runs,4.0
winner_backing,1,total_gain,recent_wins,4.1692914962768555
winner_backing,1,total_gain,draw_number,67.7355728149414
winner_backing,1,total_gain,distance_m,56.46329116821289
winner_backing,1,total_gain,field_size,27.157896041870117
winner_backing,1,total_gain,recent_places,19.664026260375977
winner_backing,1,total_gain,recent_same_track_runs,18.531574249267578
winner_backing,1,total_gain,recent_finish_percentile_weighted_6,394.87628173828125
winner_backing,1,total_gain,recent_4_margin,123.7370834350586
winner_backing,1,total_gain,recent_same_distance_runs,38.763877868652344
winner_backing,2,gain,recent_wins,5.952620029449463
winner_backing,2,gain,draw_number,4.684581279754639
winner_backing,2,gain,distance_m,5.1093573570251465
winner_backing,2,gain,field_size,4.920607089996338
winner_backing,2,gain,recent_places,5.300187587738037
winner_backing,2,gain,recent_same_track_runs,4.754226207733154
winner_backing,2,gain,active_field_size,3.8722074031829834
winner_backing,2,gain,recent_finish_percentile_weighted_6,7.629771709442139
winner_backing,2,gain,recent_4_margin,6.0521039962768555
winner_backing,2,gain,recent_same_distance_runs,4.786440372467041
winner_backing,2,cover,recent_wins,3928.1103515625
winner_backing,2,cover,draw_number,2717.096923828125
winner_backing,2,cover,distance_m,1857.581787109375
winner_backing,2,cover,field_size,2145.07568359375
winner_backing,2,cover,recent_places,3499.14404296875
winner_backing,2,cover,recent_same_track_runs,1790.7608642578125
winner_backing,2,cover,active_field_size,1498.899658203125
winner_backing,2,cover,recent_finish_percentile_weighted_6,4666.68798828125
winner_backing,2,cover,recent_4_margin,2662.654541015625
winner_backing,2,cover,recent_same_distance_runs,2595.61474609375
winner_backing,2,weight,recent_wins,64.0
winner_backing,2,weight,draw_number,141.0
winner_backing,2,weight,distance_m,151.0
winner_backing,2,weight,field_size,88.0
winner_backing,2,weight,recent_places,79.0
winner_backing,2,weight,recent_same_track_runs,52.0
winner_backing,2,weight,active_field_size,71.0
winner_backing,2,weight,recent_finish_percentile_weighted_6,208.0
winner_backing,2,weight,recent_4_margin,199.0
winner_backing,2,weight,recent_same_distance_runs,79.0
winner_backing,2,total_gain,recent_wins,380.9676818847656
winner_backing,2,total_gain,draw_number,660.5259399414062
winner_backing,2,total_gain,distance_m,771.512939453125
winner_backing,2,total_gain,field_size,433.013427734375
winner_backing,2,total_gain,recent_places,418.7148132324219
winner_backing,2,total_gain,recent_same_track_runs,247.21975708007812
winner_backing,2,total_gain,active_field_size,274.9267272949219
winner_backing,2,total_gain,recent_finish_percentile_weighted_6,1586.9925537109375
winner_backing,2,total_gain,recent_4_margin,1204.36865234375
winner_backing,2,total_gain,recent_same_distance_runs,378.1287841796875
winner_backing,3,gain,recent_wins,1.2727065086364746
winner_backing,3,gain,draw_number,1.7874828577041626
winner_backing,3,gain,field_size,0.9142589569091797
winner_backing,3,gain,recent_places,1.8707544803619385
winner_backing,3,gain,recent_finish_percentile_weighted_6,6.674428462982178
winner_backing,3,cover,recent_wins,365.11968994140625
winner_backing,3,cover,draw_number,556.9144897460938
winner_backing,3,cover,field_size,277.6682434082031
winner_backing,3,cover,recent_places,103.66203308105469
winner_backing,3,cover,recent_finish_percentile_weighted_6,929.9627075195312
winner_backing,3,weight,recent_wins,1.0
winner_backing,3,weight,draw_number,6.0
winner_backing,3,weight,field_size,1.0
winner_backing,3,weight,recent_places,2.0
winner_backing,3,weight,recent_finish_percentile_weighted_6,5.0
winner_backing,3,total_gain,recent_wins,1.2727065086364746
winner_backing,3,total_gain,draw_number,10.724897384643555
winner_backing,3,total_gain,field_size,0.9142589569091797
winner_backing,3,total_gain,recent_places,3.741508960723877
winner_backing,3,total_gain,recent_finish_percentile_weighted_6,33.37214279174805
