feature,permutation_scope,auc_drop_mean,auc_drop_sd,top3_hit_drop_mean,top3_hit_drop_sd,top3_mrr_drop_mean,top3_mrr_drop_sd
dry_rating_rank,within-race,0.013774362317478717,0.0025223192408689835,0.015942028985507183,0.005975515399445877,0.011424473071212216,0.005096046285072623
jockey_history_top3_excess,within-race,0.0026215331346182815,0.0010572112804231103,0.006376811594202819,0.0055072463768115806,-0.001707408131321131,0.002581200700299053
best_finish_percentile_at_equal_or_higher_weight,within-race,0.001441796077342583,0.000793273845358458,0.004927536231883994,0.003620288694723713,0.0015240299153342963,0.001963861753056217
speed_rating,within-race,0.00025819212787207,0.00045994619825387445,0.004057971014492701,0.002129991080681003,0.0014757235518105482,0.0018569036092264432
wet_rating_rank,within-race,-5.75376929964011e-05,0.0011060248225932235,0.003768115942028949,0.0035617987615781093,-0.0010919471028166372,0.0020312818117304023
recent_3_distance_m,within-race,6.31880441211874e-05,0.00023426297099935568,0.0036231884057970564,0.0019712276099616627,-0.00037407841755662254,0.00044111896139866576
good_wins,within-race,0.0008170501019338583,0.00038908318595419695,0.0036231884057970455,0.0032568413122093156,0.001807524198828614,0.0014048639484352896
prize_money_rank,within-race,0.0008411834107276861,0.0009600773864594125,0.003478260869565164,0.003317542939785361,-0.002555754229667223,0.0024294863862491397
form_class_level_weighted_3,within-race,9.151545109340465e-05,0.00022349494993826048,0.0034782608695651585,0.0014779766706066128,1.980306328164261e-06,0.00046442058355482366
hidden_sectional_run_best_3,within-race,-0.00025997682246179374,0.0003449623108486659,0.0031884057971014066,0.0010845383729779369,0.00015422862161998396,0.001061174426056684
best_finish_percentile_at_stronger_class,within-race,-8.748357482302183e-06,0.00017880187320693362,0.0031884057971014014,0.0018101443473618282,-0.00044357615009784637,0.001447318229627166
recent_weighted_win_rate_rank,within-race,0.00026610347334453665,0.0003264363985013499,0.003043478260869531,0.002286917947544836,-0.000992120198641888,0.0011529409682932625
recent_finish_percentile_rank,within-race,0.00023242663958278342,0.0005934583163640869,0.0030434782608695144,0.003966357154609839,6.023445153882645e-05,0.0013377510386072863
recent_finish_percentile_weighted_3_minus_race_mean,within-race,0.0011001749986396026,0.0006935169991358505,0.0028985507246376274,0.0014492753623188415,-0.0015841059101928067,0.0012576259113773723
recent_3_margin,within-race,-0.00014934919375541033,0.00021660349151180917,0.0027536231884057404,0.001884057971014483,0.0017562831693266833,0.0011745263344205394
dry_rating,within-race,0.0007429833075602299,0.0005171644764094887,0.0027536231884057183,0.002930978031327055,-0.00040364265364262186,0.0009541158143444153
jockey_history_starts,within-race,-0.0002381925106530236,0.0002968141507652793,0.0026086956521738703,0.002810249192705104,-0.00027332731680552725,0.0008412761610163421
recent_5_weight_kg,within-race,0.0007573381849469319,0.0003015688181333838,0.002608695652173859,0.0035970068539103754,-0.0008135258461345107,0.001325611620639471
recent_similar_distance_speed_rank,within-race,3.464607593675062e-05,0.0008725834606993844,0.0026086956521738204,0.004190386172406077,0.0007943393160784962,0.001402191167686516
hidden_sectional_run_best_3_gap_to_best,within-race,-0.0002290418885696699,0.00021471566235380798,0.0024637681159419777,0.002054702446196782,-0.0005831937788458918,0.0005269375455264918
historical_market_overperformance_weighted_3_gap_to_best,within-race,-0.00013407757537370335,0.00022513441329751952,0.002463768115941972,0.0014565037132059455,0.000607650401128712,0.0009717772662606695
recent_last600_avg_3,within-race,0.00030420505238092365,0.00022168750045577118,0.0023188405797100963,0.001613844742849255,-5.264461786141927e-06,0.0012594517320588374
