model,member,importance_type,feature,value
a0,1,gain,active_field_size,18.064298629760742
a0,1,gain,draw_number,8.707355499267578
a0,1,gain,career_wins,12.725265502929688
a0,1,gain,weight_change_vs_recent_avg,9.803277969360352
a0,1,gain,weight_change_vs_recent_weighted_avg,16.0653018951416
a0,1,gain,large_weight_drop_flag,3.073486328125
a0,1,gain,win_percentage,22.618324279785156
a0,1,gain,distance_starts,13.689383506774902
a0,1,gain,recent_2_starting_price,13.275035858154297
a0,1,gain,recent_3_starting_price,9.61065673828125
a0,1,gain,recent_3_total_runners,6.0599212646484375
a0,1,gain,open_price,81.72669982910156
a0,1,gain,fluc1,110.49132537841797
a0,1,gain,fluc2,170.3419647216797
a0,1,gain,recent_weighted_avg_margin_rank,15.79079818725586
a0,1,gain,recent_best_margin,27.75804901123047
a0,1,gain,trainer_recent_top3_excess,10.193565368652344
a0,1,gain,trackExpert,11.265388488769531
a0,1,gain,race_number,52.109046936035156
a0,1,gain,field_size,22.174053192138672
a0,1,gain,speed_rating,20.39455795288086
a0,1,gain,dry_rating,21.831157684326172
a0,1,gain,prize_money,15.228107452392578
a0,1,gain,heavy_starts,6.906982421875
a0,1,gain,second_up_starts,25.446340560913086
a0,1,gain,recent_1_place,4.7712860107421875
a0,1,gain,recent_1_distance_m,17.99549102783203
a0,1,gain,recent_1_weight_kg,16.18901824951172
a0,1,gain,recent_1_barrier,12.179740905761719
a0,1,gain,recent_1_margin,8.500593185424805
a0,1,gain,recent_1_total_runners,12.183853149414062
a0,1,gain,recent_2_distance_m,5.316627502441406
a0,1,gain,recent_2_margin,19.478843688964844
a0,1,gain,recent_3_place,16.223495483398438
a0,1,gain,recent_3_barrier,11.895329475402832
a0,1,gain,recent_4_place,20.622865676879883
a0,1,gain,recent_4_weight_kg,4.552427291870117
a0,1,gain,recent_4_starting_price,8.94331169128418
a0,1,gain,recent_4_margin,5.424355983734131
a0,1,gain,recent_5_distance_m,14.276084899902344
a0,1,gain,recent_5_starting_price,6.405757904052734
a0,1,gain,recent_5_margin,5.790405750274658
a0,1,gain,recent_5_total_runners,15.026655197143555
a0,1,gain,recent_6_place,9.028444290161133
a0,1,gain,recent_6_distance_m,7.520666599273682
a0,1,gain,recent_6_barrier,6.1944427490234375
a0,1,gain,recent_6_track_status_value,17.37356948852539
a0,1,gain,recent_6_starting_price,26.023345947265625
a0,1,gain,recent_6_margin,8.89200210571289
a0,1,gain,goodGroundPro,23.063142776489258
a0,1,gain,softGroundPro,4.577146053314209
a0,1,gain,market_open_to_fluc1_move,47.80467987060547
a0,1,gain,market_open_to_fluc2_move,25.497913360595703
a0,1,gain,market_fluc1_to_fluc2_move,23.541397094726562
a0,1,gain,market_open_to_fluc1_move_pct,31.506235122680664
a0,1,gain,market_open_to_fluc2_move_pct,30.482391357421875
a0,1,gain,market_fluc1_to_fluc2_move_pct,14.461734771728516
a0,1,gain,market_total_abs_movement,25.454607009887695
a0,1,gain,market_implied_prob_change_open_to_fluc2,34.426658630371094
a0,1,gain,market_implied_prob_change_fluc1_to_fluc2,22.85767936706543
a0,1,gain,recent_best_speed_mps,12.362735748291016
a0,1,gain,recent_best_similar_distance_speed_mps,18.477102279663086
a0,1,gain,recent_avg_similar_distance_speed_mps,18.912717819213867
a0,1,gain,recent_weighted_avg_place,10.536179542541504
a0,1,gain,recent_weighted_top3_rate,2.675551652908325
a0,1,gain,recent_finish_percentile_weighted,8.834243774414062
a0,1,gain,recent_market_edge_weighted,12.600041389465332
a0,1,gain,recent_avg_weight_kg,17.656953811645508
a0,1,gain,recent_weighted_avg_weight_kg,18.386865615844727
a0,1,gain,recent_max_weight_kg,12.255404472351074
a0,1,gain,open_price_rank,97.41634368896484
a0,1,gain,fluc1_price_rank,160.5266876220703
a0,1,gain,fluc2_price_rank,227.7270050048828
a0,1,gain,win_percentage_rank,11.574873924255371
a0,1,gain,place_percentage_rank,16.929353713989258
a0,1,gain,recent_weighted_avg_place_rank,11.710002899169922
a0,1,gain,recent_weighted_win_rate_rank,15.502152442932129
a0,1,gain,race_consensus_score,164.6297149658203
a0,1,gain,race_consensus_rank,67.87983703613281
a0,1,gain,career_win_rate_rank,9.786529541015625
a0,1,gain,career_place_rate_rank,3.396392822265625
a0,1,gain,first_up_win_rate_rank,9.593292236328125
a0,1,gain,race_overlay_rank,5.729156494140625
a0,1,gain,race_signal_agreement_score,4.596839904785156
a0,1,gain,race_signal_agreement_rank,10.78890609741211
a0,1,gain,sectional_last600_seconds_weighted_3,25.096384048461914
a0,1,gain,sectional_last600_seconds_weighted_6,17.841516494750977
a0,1,gain,sectional_last600_std_6,5.795510292053223
a0,1,gain,sectional_last600_trend,10.265408515930176
a0,1,gain,sectional_closing_speed_ratio_weighted_6,6.611848831176758
a0,1,gain,form_class_level_weighted_3,11.663314819335938
a0,1,gain,class_change_vs_recent_3,6.8028693199157715
a0,1,gain,jockey_history_starts,14.308141708374023
a0,1,gain,jockey_history_top3_excess,8.635297775268555
a0,1,gain,jockey_recent_top3_excess,12.504920959472656
a0,1,gain,trainer_history_starts,12.217001914978027
a0,1,gain,trainer_history_top3_excess,12.517951965332031
a0,1,gain,jockey_trainer_history_starts,9.737823486328125
a0,1,gain,jockey_trainer_history_top3_excess,4.9435272216796875
a0,1,gain,recent_1_starting_price,13.600712776184082
a0,1,gain,recent_finish_percentile_last1,9.61625862121582
a0,1,gain,recent_finish_percentile_avg_3,1.026580810546875
a0,1,gain,recent_finish_percentile_best_3,11.624824523925781
a0,1,gain,recent_finish_percentile_slope_3,12.999164581298828
a0,1,gain,recent_finish_percentile_slope_6,9.175071716308594
a0,1,gain,recent_finish_percentile_last_minus_avg3,4.271842956542969
a0,1,gain,recent_finish_percentile_avg3_minus_avg6,7.101805210113525
a0,1,gain,recent_margin_avg_6,19.766754150390625
a0,1,gain,recent_margin_best_3,16.69359588623047
a0,1,gain,recent_margin_quality_slope_3,26.572723388671875
a0,1,gain,historical_market_overperformance_last1,11.047138214111328
a0,1,gain,historical_market_overperformance_best_3,18.091934204101562
a0,1,gain,historical_market_overperformance_slope_3,8.349194526672363
a0,1,gain,historical_implied_probability_weighted_6,6.8827691078186035
a0,1,gain,distance_minus_recent_weighted_avg,20.60767364501953
a0,1,gain,similar_distance_finish_percentile_weighted,9.073005676269531
a0,1,gain,similar_distance_top3_rate,15.625911712646484
a0,1,gain,distance_step_down_pct,18.94793701171875
a0,1,gain,recent_barrier_percentile_avg_3,19.45027732849121
a0,1,gain,recent_barrier_percentile_std_6,13.02457332611084
a0,1,gain,current_barrier_percentile,25.369871139526367
a0,1,gain,current_weight_change_pct,14.406133651733398
a0,1,gain,margin_quality_consistency_6,8.5764799118042
a0,1,gain,recent3_vs_career_place_rate,24.602521896362305
a0,1,gain,same_track_finish_percentile,8.316275596618652
a0,1,gain,same_track_distance_finish_percentile,10.464775085449219
a0,1,gain,same_track_distance_margin_quality,9.815435409545898
a0,1,gain,condition_finish_percentile,14.186223983764648
a0,1,gain,condition_margin_quality,14.991437911987305
a0,1,gain,recent_last600_avg_3,25.537944793701172
a0,1,gain,recent_last600_avg_6,9.300130844116211
a0,1,gain,recent_last600_weighted_3,20.85641860961914
a0,1,gain,recent_last600_weighted_6,17.289226531982422
a0,1,gain,recent_last600_best_3,11.741511344909668
a0,1,gain,recent_last600_slope_3,22.8654842376709
a0,1,gain,recent_last600_slope_6,18.46570587158203
a0,1,gain,historical_run_quality_avg_3,8.749738693237305
a0,1,gain,historical_run_quality_slope_3,4.658355712890625
a0,1,gain,hidden_sectional_run_avg_3,10.436622619628906
a0,1,gain,sectional_ceiling_6,21.290771484375
a0,1,gain,sectional_average_6,13.896570205688477
a0,1,gain,recent_class_avg_3,18.55409049987793
a0,1,gain,recent_class_weighted_6,12.617542266845703
a0,1,gain,class_adjusted_finish_percentile_last1,16.290660858154297
