race_id,runners,top1_hit,top3_hit,winner_rank,reciprocal_rank,random_top1_expected,random_top3_expected,start_time_iso,competition_id,competition_name,race_number,race_name
10146908,7,0,0,6.0,0.16666666666666666,0.14285714285714285,0.42857142857142855,2026-02-14T01:05:00+00:00,1,Flemington,1,R1 Tab Talindert Stakes
10146774,13,0,0,9.0,0.1111111111111111,0.07692307692307693,0.23076923076923078,2026-02-14T01:20:00+00:00,1,Randwick,1,R1 Tab Highway Hcp (C3)
10147275,7,1,1,1.0,1.0,0.14285714285714285,0.42857142857142855,2026-02-14T01:28:00+00:00,1,Eagle Farm,1,R1 Souths Sports Club Hcp
10146842,8,1,1,1.0,1.0,0.125,0.375,2026-02-14T01:47:00+00:00,1,Morphettville,1,R1 Sportsbet Adelaide Cup Day Monday 9 March (Bm66)
10146777,12,0,0,4.0,0.25,0.08333333333333333,0.25,2026-02-14T01:55:00+00:00,2,Randwick,2,R2 Midway (Bm72)
10147277,7,0,0,4.0,0.25,0.14285714285714285,0.42857142857142855,2026-02-14T02:03:00+00:00,2,Eagle Farm,2,R2 Racecourse Village (Bm78)
10146901,6,1,1,1.0,1.0,0.16666666666666666,0.5,2026-02-14T02:10:00+00:00,3,Flemington,3,R3 Desirable Stakes
10150557,6,0,1,2.0,0.5,0.16666666666666666,0.5,2026-02-14T02:15:00+00:00,1,Newcastle,1,R1 Prosperity Salary Packaging Mdn Hcp
10146843,11,0,0,6.0,0.16666666666666666,0.09090909090909091,0.2727272727272727,2026-02-14T02:22:00+00:00,2,Morphettville,2,R2 Fleurieu Milk Company Hcp (64)
10150516,8,0,0,5.0,0.2,0.125,0.375,2026-02-14T02:26:00+00:00,1,Ballarat,1,R1 Hertz Mdn Plate
10147270,6,1,1,1.0,1.0,0.16666666666666666,0.5,2026-02-14T02:38:00+00:00,3,Eagle Farm,3,R3 Ladbrokes Fast Payouts (Bm70)
10150498,6,0,1,3.0,0.3333333333333333,0.16666666666666666,0.5,2026-02-14T02:41:00+00:00,1,Orange,1,R1 Shed Boss Orange Mdn Plate
10146907,8,0,1,3.0,0.3333333333333333,0.125,0.375,2026-02-14T02:45:00+00:00,4,Flemington,4,R4 Vobis Gold Prelude (Qc)
10150774,10,1,1,1.0,1.0,0.1,0.3,2026-02-14T02:47:00+00:00,1,Dalby,1,R1 Jane's 60Th Jump Out Mdn Plate
10150558,12,0,0,6.5,0.15384615384615385,0.08333333333333333,0.25,2026-02-14T02:50:00+00:00,2,Newcastle,2,R2 Hmri Mdn Plate
10146836,7,0,1,3.0,0.3333333333333333,0.14285714285714285,0.42857142857142855,2026-02-14T02:57:00+00:00,3,Morphettville,3,R3 Sportsbet Feed (Bm72)
10150518,13,0,1,3.0,0.3333333333333333,0.07692307692307693,0.23076923076923078,2026-02-14T03:01:00+00:00,2,Ballarat,2,R2 James Vac Solutions Mdn Plate
10146780,11,0,0,7.0,0.14285714285714285,0.09090909090909091,0.2727272727272727,2026-02-14T03:05:00+00:00,4,Randwick,4,R4 Myplates (Bm78)
10147276,11,0,0,5.0,0.2,0.09090909090909091,0.2727272727272727,2026-02-14T03:13:00+00:00,4,Eagle Farm,4,R4 Sky Racing (Bm70)
