cohort_validation,dimension,segment,challenger,races_validation,market_wins_validation,model_wins_validation,pick_changes_validation,market_losses_corrected_validation,market_winners_damaged_validation,net_winners_gained_validation,cohort_sealed_test,races_sealed_test,market_wins_sealed_test,model_wins_sealed_test,pick_changes_sealed_test,market_losses_corrected_sealed_test,market_winners_damaged_sealed_test,net_winners_gained_sealed_test
validation,favourite_price,4.00-5.99,frozen_blend,121,19,23,27,7,3,4,sealed_test,120,30,23,39,7,14,-7
validation,favourite_price,4.00-5.99,market_corrector,121,19,22,22,6,3,3,sealed_test,120,30,31,29,7,6,1
validation,favourite_price,4.00-5.99,gpt_pick,121,19,20,26,5,4,1,sealed_test,120,30,21,42,6,15,-9
validation,favourite_price,4.00-5.99,gpt_fluc2,121,19,24,29,8,3,5,sealed_test,120,30,20,44,4,14,-10
validation,favourite_price,2.50-3.99,frozen_blend,521,152,162,57,21,11,10,sealed_test,511,140,134,61,10,16,-6
validation,favourite_price,2.50-3.99,market_corrector,521,152,155,47,15,12,3,sealed_test,511,140,132,38,4,12,-8
validation,favourite_price,2.50-3.99,gpt_pick,521,152,152,66,20,20,0,sealed_test,511,140,138,76,17,19,-2
validation,favourite_price,2.50-3.99,gpt_fluc2,521,152,148,84,25,29,-4,sealed_test,511,140,146,72,22,16,6
validation,favourite_price,1.50-2.49,frozen_blend,327,150,149,10,2,3,-1,sealed_test,324,133,130,7,1,4,-3
validation,favourite_price,1.50-2.49,market_corrector,327,150,150,6,1,1,0,sealed_test,324,133,129,7,1,5,-4
validation,favourite_price,1.50-2.49,gpt_pick,327,150,151,11,5,4,1,sealed_test,324,133,132,10,4,5,-1
validation,favourite_price,1.50-2.49,gpt_fluc2,327,150,148,9,3,5,-2,sealed_test,324,133,132,9,3,4,-1
validation,favourite_price,6.00+,frozen_blend,3,0,0,0,0,0,0,sealed_test,4,0,0,3,0,0,0
validation,favourite_price,6.00+,market_corrector,3,0,0,0,0,0,0,sealed_test,4,0,0,2,0,0,0
validation,favourite_price,6.00+,gpt_pick,3,0,0,0,0,0,0,sealed_test,4,0,0,3,0,0,0
validation,favourite_price,6.00+,gpt_fluc2,3,0,0,0,0,0,0,sealed_test,4,0,0,2,0,0,0
validation,favourite_price,<1.50,frozen_blend,28,21,21,0,0,0,0,sealed_test,41,33,33,0,0,0,0
validation,favourite_price,<1.50,market_corrector,28,21,21,0,0,0,0,sealed_test,41,33,33,0,0,0,0
validation,favourite_price,<1.50,gpt_pick,28,21,21,0,0,0,0,sealed_test,41,33,33,0,0,0,0
validation,favourite_price,<1.50,gpt_fluc2,28,21,21,0,0,0,0,sealed_test,41,33,33,0,0,0,0
validation,field_size,15+,frozen_blend,19,3,3,4,0,0,0,sealed_test,32,10,9,4,1,2,-1
validation,field_size,15+,market_corrector,19,3,3,2,0,0,0,sealed_test,32,10,10,3,1,1,0
validation,field_size,15+,gpt_pick,19,3,3,3,0,0,0,sealed_test,32,10,9,2,0,1,-1
validation,field_size,15+,gpt_fluc2,19,3,3,3,0,0,0,sealed_test,32,10,8,4,0,2,-2
validation,field_size,8-10,frozen_blend,414,144,152,40,15,7,8,sealed_test,431,147,139,41,6,14,-8
validation,field_size,8-10,market_corrector,414,144,147,31,9,6,3,sealed_test,431,147,141,28,4,10,-6
validation,field_size,8-10,gpt_pick,414,144,141,38,10,13,-3,sealed_test,431,147,148,59,15,14,1
validation,field_size,8-10,gpt_fluc2,414,144,140,47,13,17,-4,sealed_test,431,147,153,56,17,11,6
validation,field_size,4-7,frozen_blend,190,72,70,12,2,4,-2,sealed_test,188,79,76,9,1,4,-3
validation,field_size,4-7,market_corrector,190,72,71,12,2,3,-1,sealed_test,188,79,77,5,0,2,-2
validation,field_size,4-7,gpt_pick,190,72,73,21,6,5,1,sealed_test,188,79,74,16,3,8,-5
validation,field_size,4-7,gpt_fluc2,190,72,70,21,5,7,-2,sealed_test,188,79,76,14,4,7,-3
validation,field_size,11-14,frozen_blend,377,123,130,38,13,6,7,sealed_test,349,100,96,56,10,14,-4
validation,field_size,11-14,market_corrector,377,123,127,30,11,7,4,sealed_test,349,100,97,40,7,10,-3
validation,field_size,11-14,gpt_pick,377,123,127,41,14,10,4,sealed_test,349,100,93,54,9,16,-7
validation,field_size,11-14,gpt_fluc2,377,123,128,51,18,13,5,sealed_test,349,100,94,53,8,14,-6
validation,distance,1201-1400m,frozen_blend,249,73,75,21,7,5,2,sealed_test,248,74,70,26,5,9,-4
validation,distance,1201-1400m,market_corrector,249,73,73,16,4,4,0,sealed_test,248,74,71,18,3,6,-3
validation,distance,1201-1400m,gpt_pick,249,73,72,23,6,7,-1,sealed_test,248,74,74,35,8,8,0
validation,distance,1201-1400m,gpt_fluc2,249,73,75,30,11,9,2,sealed_test,248,74,75,33,8,7,1
validation,distance,<=1200m,frozen_blend,415,160,168,35,13,5,8,sealed_test,405,140,133,43,7,14,-7
validation,distance,<=1200m,market_corrector,415,160,163,30,10,7,3,sealed_test,405,140,134,31,5,11,-6
validation,distance,<=1200m,gpt_pick,415,160,164,37,12,8,4,sealed_test,405,140,134,54,11,17,-6
validation,distance,<=1200m,gpt_fluc2,415,160,161,48,13,12,1,sealed_test,405,140,140,48,15,15,0
validation,distance,1401-1600m,frozen_blend,151,49,50,20,5,4,1,sealed_test,160,62,58,22,4,8,-4
validation,distance,1401-1600m,market_corrector,151,49,52,14,4,1,3,sealed_test,160,62,62,17,3,3,0
validation,distance,1401-1600m,gpt_pick,151,49,51,24,7,5,2,sealed_test,160,62,56,21,4,10,-6
validation,distance,1401-1600m,gpt_fluc2,151,49,49,22,6,6,0,sealed_test,160,62,58,22,4,8,-4
validation,distance,1601-2000m,frozen_blend,97,33,37,9,4,0,4,sealed_test,102,33,32,12,1,2,-1
validation,distance,1601-2000m,market_corrector,97,33,35,5,3,1,2,sealed_test,102,33,32,7,1,2,-1
validation,distance,1601-2000m,gpt_pick,97,33,34,8,4,3,1,sealed_test,102,33,34,9,3,2,1
validation,distance,1601-2000m,gpt_fluc2,97,33,34,11,5,4,1,sealed_test,102,33,32,11,1,2,-1
validation,distance,2001m+,frozen_blend,88,27,25,9,1,3,-2,sealed_test,85,27,27,7,1,1,0
validation,distance,2001m+,market_corrector,88,27,25,10,1,3,-2,sealed_test,85,27,26,3,0,1,-1
validation,distance,2001m+,gpt_pick,88,27,23,11,1,5,-4,sealed_test,85,27,26,12,1,2,-1
validation,distance,2001m+,gpt_fluc2,88,27,22,11,1,6,-5,sealed_test,85,27,26,13,1,2,-1
validation,race_class,76+,frozen_blend,57,22,21,4,0,1,-1,sealed_test,68,26,26,5,1,1,0
validation,race_class,76+,market_corrector,57,22,21,5,0,1,-1,sealed_test,68,26,27,3,1,0,1
validation,race_class,76+,gpt_pick,57,22,20,7,1,3,-2,sealed_test,68,26,23,5,0,3,-3
validation,race_class,76+,gpt_fluc2,57,22,23,8,2,1,1,sealed_test,68,26,23,6,0,3,-3
validation,race_class,51-58,frozen_blend,192,51,57,15,6,0,6,sealed_test,194,60,57,30,7,10,-3
validation,race_class,51-58,market_corrector,192,51,55,15,6,2,4,sealed_test,194,60,58,24,6,8,-2
validation,race_class,51-58,gpt_pick,192,51,54,20,7,4,3,sealed_test,194,60,51,25,2,11,-9
validation,race_class,51-58,gpt_fluc2,192,51,56,18,8,3,5,sealed_test,194,60,53,31,4,11,-7
validation,race_class,59-65,frozen_blend,171,42,46,18,7,3,4,sealed_test,187,58,52,25,3,9,-6
validation,race_class,59-65,market_corrector,171,42,44,15,5,3,2,sealed_test,187,58,54,15,1,5,-4
validation,race_class,59-65,gpt_pick,171,42,40,17,3,5,-2,sealed_test,187,58,62,28,10,6,4
validation,race_class,59-65,gpt_fluc2,171,42,39,18,3,6,-3,sealed_test,187,58,60,27,7,5,2
validation,race_class,unknown,frozen_blend,105,41,38,13,3,6,-3,sealed_test,102,33,32,14,2,3,-1
