feature,permutation_scope,auc_drop_mean,auc_drop_sd,top1_drop_mean,top1_drop_sd,mrr_drop_mean,mrr_drop_sd,race_logloss_increase_mean,race_logloss_increase_sd,winner_rank_increase_mean,winner_rank_increase_sd
recent_2_weight_kg,within-race,0.0004304564135842792,0.0002727727341979164,0.009333333333333329,0.001333333333333331,0.006453816553816549,0.0017428409510908316,0.002050611553992443,0.0008536093929152899,0.035333333333332995,0.03270066258248209
recent_barrier_percentile_weighted_6,within-race,-0.00022279904823712114,0.0005336528700164736,0.005333333333333329,0.002666666666666668,0.0041590391090391195,0.0014880911836687855,-0.0006006135719199612,0.001378525980166574,0.03133333333333273,0.014696938456699166
recent_6_barrier,within-race,0.0007125243348474975,0.0007050820130901541,0.008666666666666665,0.005416025603090639,0.0038614404114404423,0.004726388120423631,-9.917072032656904e-05,0.0017611583930397467,-0.008000000000000363,0.02295890047696324
condition_margin_quality,within-race,-0.0008730261734804401,0.00047012445980963745,0.007999999999999998,0.004521553322083511,0.003782027232027263,0.003039575808253488,-0.0012880483602338622,0.0008209964114467025,-0.00933333333333355,0.0032659863237109793
heavy_starts,within-race,0.0008187324248323247,0.0009550711388068822,0.004666666666666664,0.0033993463423951896,0.0035961445961446127,0.0017055628309034265,0.0015265588573689648,0.0015246684200595946,0.023333333333333074,0.020221001184137583
hidden_sectional_run_last1,within-race,-0.00018883841661259114,0.0009780137920556529,0.006666666666666665,0.0036514837167011104,0.003431771931771954,0.0031206134375057035,0.0021535741434329124,0.0014200053736525852,0.01599999999999948,0.013888444437333001
recent_3_weight_kg,within-race,6.446030715980821e-05,0.00020764452155819265,0.005999999999999997,0.003887301263230199,0.0032866318866318967,0.0019649972118835615,-0.0006028564771279222,0.00032775648638072867,0.025999999999999624,0.01289271973720923
similar_distance_margin_quality_avg,within-race,0.0022779580359074013,0.0007738952429722036,0.004666666666666664,0.006182412330330471,0.003271380471380492,0.0032211947118407744,0.003868466379798541,0.0016561972860264004,0.0486666666666661,0.009797958971132528
similar_distance_top3_rate,within-race,0.0003399307808781726,0.0006362595835029027,0.003999999999999995,0.0032659863237109034,0.0031859418359418525,0.0016997769188893687,0.0007461955988277147,0.0013691619248459921,0.01933333333333298,0.009521904571390537
historical_market_overperformance_weighted_3_zscore_in_race,within-race,0.0001680726800778576,0.0006433739426549256,0.006666666666666665,0.0036514837167011057,0.0031819143819144303,0.00263145292855826,0.0010307037844629718,0.0014241957893962398,0.026666666666666217,0.02338090388900025
